,bc8,6/4,9/4,6/8,9/8,bc4,bc2,bc3,2/2,2/4,bc6,3/4,5/4,7/4,12/4,bc12,12/8,5/8,7/8,4/4
bc8,0.0,1.2589516977599038,1.262915419319454,1.3109829769880035,1.3161587636900292,1.4142135623730951,1.7320508075688772,1.9934059072973338,2.1184164821687292,2.2091462564967204,2.220412699959072,2.2293120147496923,2.2532149752985324,2.2533588000879243,2.3447982212527827,2.420839754357787,2.4395604317236406,2.462810187313962,2.463117746962628,2.9525805869692636
6/4,1.2589516977599038,0.0,0.5906356489378884,0.18135255374755346,0.6386823016839822,1.5327130863435379,1.7528143276457986,1.8105658666408722,1.0148509859322143,1.099481639804267,1.8643407893747364,1.2930859423189416,1.3224194612052316,1.3072110072525434,1.3549580202668987,1.7769139460318262,1.4626241253415206,1.5283393048085658,1.5136248336904237,1.9043676486124754
9/4,1.262915419319454,0.5906356489378884,0.0,0.640543653945031,0.18715707778275387,1.527241141744452,1.7454879545305584,1.8083320579387412,1.2090259801707084,1.2916554019967357,1.8668220517180336,1.1216629584860036,1.3547024843901374,1.3628357694233568,1.7259297301710825,1.7917291015231243,1.8258365945167263,1.5613240904579364,1.5694078757654704,2.22672636034257
6/8,1.3109829769880035,0.18135255374755346,0.640543653945031,0.0,0.6352283019294499,1.6396568370687472,1.9205401696778663,1.9585209462688815,1.0118922134279316,1.079445522332096,1.9939009404108223,1.2872585565934311,1.3167097073577663,1.3002813732968839,1.2884688717178001,1.8063242723819102,1.3840898833098982,1.4848781429353266,1.4685366620095908,1.8362830196836826
9/8,1.3161587636900292,0.6386823016839822,0.18715707778275387,0.6352283019294499,0.0,1.6371866158288673,1.9184316550373062,1.9607470028328675,1.2193395416203483,1.287080354261953,2.0002472203502304,1.0996133551087752,1.3507320383463748,1.3594983578925481,1.6979774251729558,1.8225251356259722,1.7867521571984877,1.5193086986034823,1.5281930980729352,2.1898337409543522
bc4,1.4142135623730951,1.5327130863435379,1.527241141744452,1.6396568370687472,1.6371866158288673,0.0,1.0,1.413173352463668,2.0893034932637047,2.2071441381463903,1.7253243712550146,2.227400067552585,2.2508935143767324,2.2511478991248546,2.6005825517239076,1.9883380930045633,2.712765879466653,2.5120230026317496,2.5124884012234587,3.1166874275784666
bc2,1.7320508075688772,1.7528143276457986,1.7454879545305584,1.9205401696778663,1.9184316550373062,1.0,0.0,0.9985283792228454,2.2005441388307694,2.3319767473712547,1.405967348855055,2.3496071430748593,2.368890339179246,2.369044592130174,2.7559993450421447,2.225643361388572,2.891210597102619,2.703749168423549,2.7041815705093497,3.2385212044073435
bc3,1.9934059072973338,1.8105658666408722,1.8083320579387412,1.9585209462688815,1.9607470028328675,1.413173352463668,0.9985283792228454,0.0,1.9622644375848535,2.1087603896190688,0.9927230311585716,2.1282407188413988,2.149510704696051,2.149680699556884,2.7028128561589067,1.9905384202871277,2.830674623411718,2.513764984300876,2.5142300604416783,3.0816836992044037
2/2,2.1184164821687292,1.0148509859322143,1.2090259801707084,1.0118922134279316,1.2193395416203483,2.0893034932637047,2.2005441388307694,1.9622644375848535,0.0,0.15844720369933335,1.75821487324908,0.7817198372769737,0.8263738498055486,0.7937740245043746,1.339533782027483,1.2925947087325136,1.4240770226395114,1.0255077244438382,0.9962732512321678,1.5053933377983226
2/4,2.2091462564967204,1.099481639804267,1.2916554019967357,1.079445522332096,1.287080354261953,2.2071441381463903,2.3319767473712547,2.1087603896190688,0.15844720369933335,0.0,1.860476112244848,0.7851477758628974,0.8289172350122375,0.7943838320416364,1.3212670724189552,1.3321628661612053,1.3954610960104632,0.9876091803044088,0.9552730388612038,1.4391207608714438
