,c12,12/8,12/4,6/4,9/4,c6,6/8,3/4,9/8,c4,c3,2/4,7/4,5/4,2/2,4/4,c2,7/8,5/8,c8
c12,0.0,1.1700614158001093,1.2750776518806126,1.2901286978175406,1.3236420219440284,1.7253243712550146,1.7281865157727403,1.8598798534198269,1.9298784519711734,1.9883380930045633,1.9905384202871277,2.0635106246913724,2.0702708055783265,2.071177677140781,2.1130271398227913,2.1130271398227913,2.225643361388572,2.2339084964603497,2.2386725200968014,2.420839754357787
12/8,1.1700614158001093,0.0,0.9400461998927989,0.5069669730066296,0.6736903266937851,0.9042842975958788,0.6824258442941183,0.9599607018447268,0.880315520569642,1.2855842246903986,1.0696038260856948,1.131611619072428,1.1717949552159483,1.1731336029974986,1.286515329008304,1.286515329008304,1.2118349965353679,1.2294764410028574,1.2320854081849202,1.7646711770811705
12/4,1.2750776518806126,0.9400461998927989,0.0,0.9447122749858438,1.2045127208110995,1.673619661483673,1.4811939341071059,1.5210789885156788,1.6414089991176128,1.6510182990933666,1.7542454312800582,1.6169889378390616,1.6956809823490804,1.6922162279245594,1.5296758125022638,1.5296758125022638,1.8306739106385945,1.8394524997581958,1.8416627043183982,1.7661879201260997
6/4,1.2901286978175406,0.5069669730066296,0.9447122749858438,0.0,0.42205283775965724,1.266510804220951,0.7544421828818575,0.6656856836597653,0.9659411635599995,0.8895642827125796,1.1789894124999782,0.843922993026866,0.8989211827446119,0.8991671830723164,0.9820399525818694,0.9820399525818694,1.0807258406403695,1.1002960485213027,1.1032565843939623,1.517470640363029
9/4,1.3236420219440284,0.6736903266937851,1.2045127208110995,0.42205283775965724,0.0,1.2767201880471377,0.7595094709150559,0.6640241793254249,0.9360040869724515,0.8895032535432705,1.1807436055382108,0.8754037077941605,0.8929758824695787,0.8938972315106615,1.0769196136388108,1.0769196136388108,1.0724052774225061,1.0918845228175225,1.095851525136583,1.6541658579813823
c6,1.7253243712550146,0.9042842975958788,1.673619661483673,1.266510804220951,1.2767201880471377,0.0,0.8531364454153678,1.361315324077826,0.8782185626960577,1.7253243712550146,0.9927230311585716,1.4981210555223938,1.507346399928551,1.5062602859190615,1.726418696133,1.726418696133,1.405967348855055,1.423513149339101,1.421621645564474,2.220412699959072
6/8,1.7281865157727403,0.6824258442941183,1.4811939341071059,0.7544421828818575,0.7595094709150559,0.8531364454153678,0.0,0.5860017233292065,0.3219910860324843,1.0742061982982847,0.752373590844862,0.7432510616211871,0.7643662168467119,0.7619170218638296,1.1108058073430815,1.1108058073430815,0.6299130617273753,0.6681476871130236,0.667202423697537,1.7691240987642682
3/4,1.8598798534198269,0.9599607018447268,1.5210789885156788,0.6656856836597653,0.6640241793254249,1.361315324077826,0.5860017233292065,0.0,0.7201474983696009,0.5800299333513744,1.0393274369564403,0.3278928331353998,0.3785031157837618,0.370540894237405,0.7838562759177916,0.7838562759177916,0.5411042389377494,0.5840037648773514,0.584732868988244,1.5242880084787516
9/8,1.9298784519711734,0.880315520569642,1.6414089991176128,0.9659411635599995,0.9360040869724515,0.8782185626960577,0.3219910860324843,0.7201474983696009,0.0,1.1769541997466937,0.7661118797523072,0.8138045777712369,0.8324071870479263,0.8320556649706025,1.1834883827448277,1.1834883827448277,0.62843090281635,0.6662594488013395,0.6640809200026776,1.832779104676155
c4,1.9883380930045633,1.2855842246903986,1.6510182990933666,0.8895642827125796,0.8895032535432705,1.7253243712550146,1.0742061982982847,0.5800299333513744,1.1769541997466937,0.0,1.413173352463668,0.5639986926823572,0.5996695597272336,0.5939218255850602,0.7489918511772954,0.7489918511772954,1.0,1.0224138048887819,1.0241483955332071,1.4142135623730951
c3,1.9905384202871277,1.0696038260856948,1.7542454312800582,1.1789894124999782,1.1807436055382108,0.9927230311585716,0.752373590844862,1.0393274369564403,0.7661118797523072,1.413173352463668,0.0,1.1264513455543492,1.140207965359475,1.1382890962295513,1.418914043257347,1.418914043257347,0.9985283792228454,1.0236017727391715,1.021405466781219,1.9934059072973338
