,bc24,5/8,7/8,2/4,5/4,3/4,7/4,2/2,12/8,12/4,6/8,4/4,9/8,6/4,9/4,bc12,bc8,bc4,bc48,bc16
bc24,0.0,1.1936505969855735,1.2724271107618381,1.3324842042283935,1.3496760814061413,1.3802397243162583,1.4121228693893944,1.4123555888945691,1.6401505283209732,1.640926511653269,1.6465354292462844,1.6630793697467048,1.6948335458725576,1.7423604434712905,1.7881970880719382,2.3492613507468145,2.76339711883103,3.104249287084341,3.2154427884937453,3.4112114616897675
5/8,1.1936505969855735,0.0,0.744646599778403,0.8176875022562582,0.4296186390370476,0.846177131156552,0.8219748526678075,0.8724595395984809,1.6559501711707858,1.6135131385962993,1.4020062723515732,1.6705079074160372,1.4210362811335675,1.4533740142540938,1.4725780115743772,1.4187432839262148,2.462810187313962,2.51202300263175,3.4024183075322756,3.1366553768516274
7/8,1.2724271107618381,0.744646599778403,0.0,0.8363362259904386,0.8221295180224946,0.9004952716554432,0.4298833510835549,0.889053397069041,1.5766483519725802,1.5355479853383478,1.3960406610940372,1.5954888209609237,1.4342307532456644,1.448074728790257,1.4844679857631502,1.4665764615925918,2.463117746962628,2.512488401223459,3.2824858270922634,3.115881793998887
2/4,1.3324842042283935,0.8176875022562582,0.8363362259904386,0.0,0.6474558519509955,0.6668799675683812,0.6682506181132923,0.15563800795701202,1.3239161490664344,1.248558337712245,1.046857796430589,1.376170140986057,1.2171599950985257,1.0691295218226076,1.2264637718362361,1.2686558685193914,2.208662028879656,2.2071441381463903,3.124875788950948,2.769319084763189
5/4,1.3496760814061413,0.4296186390370476,0.8221295180224946,0.6474558519509955,0.0,0.6833686713587299,0.6607983169511722,0.6551968666372089,1.6524538130619393,1.5818212388985289,1.2310758329750044,1.7144235294141053,1.2498546646895923,1.2426393679204255,1.2609316794164562,1.306101922949829,2.2525570492566733,2.250893514376732,3.4838280361399963,2.9786178253333047
3/4,1.3802397243162583,0.846177131156552,0.9004952716554432,0.6668799675683812,0.6833686713587299,0.0,0.74226460512984,0.6694558422690295,1.6551982957831548,1.5835575452267647,1.2164373474380388,1.7291506650831574,1.0613030634166942,1.226996520213322,1.0861603474989177,1.3153884198088388,2.228734715968673,2.2274000675525847,3.479796372737125,2.976207409949874
7/4,1.4121228693893944,0.8219748526678075,0.4298833510835549,0.6682506181132923,0.6607983169511722,0.74226460512984,0.0,0.6746283489097172,1.5825590523675428,1.5117997916700285,1.225053384060648,1.6503126196316635,1.2631699825700682,1.2371016162813258,1.2732070510642894,1.3521394837980825,2.2526717420512137,2.2511478991248537,3.3808750715595597,2.959211565471458
2/2,1.4123555888945691,0.8724595395984809,0.889053397069041,0.15563800795701202,0.6551968666372089,0.6694558422690295,0.6746283489097172,0.0,1.3577253727234893,1.2716527543305935,0.9786986459206967,1.448399438922543,1.1492836030637121,0.9834575355577644,1.1428908660453205,1.2304973952373277,2.1178565658355466,2.089241237809631,3.192495031148593,2.7102129131077257
12/8,1.6401505283209732,1.6559501711707858,1.5766483519725802,1.3239161490664344,1.6524538130619393,1.6551982957831548,1.5825590523675428,1.3577253727234893,0.0,0.14109167208201076,1.342886389209015,0.6187517215161547,1.6431883961402762,1.4260218443708879,1.6956431051852519,2.32709733203253,2.4395604317236406,2.712765879466653,2.240553651730541,2.5647916133063053
12/4,1.640926511653269,1.6135131385962993,1.5355479853383478,1.248558337712245,1.5818212388985289,1.5835575452267647,1.5117997916700285,1.2716527543305935,0.14109167208201076,0.0,1.245882563014849,0.6829481557905569,1.5527598984792792,1.3173445917394495,1.5938571688858252,2.250825872611015,2.344733997370035,2.600582551723907,2.326437020349018,2.5031443533988305
6/8,1.6465354292462844,1.4020062723515732,1.3960406610940372,1.046857796430589,1.2310758329750044,1.2164373474380388,1.225053384060648,0.9786986459206967,1.342886389209015,1.245882563014849,0.0,1.7887284402383967,0.5635773841260777,0.17885668969107618,0.574064342815305,1.759672949936043,1.3109829769880035,1.639656837068747,3.3764469985028507,2.1707095110862107
4/4,1.6630793697467048,1.6705079074160372,1.5954888209609237,1.376170140986057,1.7144235294141053,1.7291506650831574,1.6503126196316635,1.448399438922543,0.6187517215161547,0.6829481557905569,1.7887284402383967,0.0,2.050991344030468,1.861380378003388,2.099986505736156,2.3683950990811624,2.9525040423525586,3.1166874275784666,2.005203865806882,2.9961064828815767
9/8,1.6948335458725576,1.4210362811335675,1.4342307532456644,1.2171599950985257,1.2498546646895923,1.0613030634166942,1.2631699825700682,1.1492836030637121,1.6431883961402762,1.5527598984792792,0.5635773841260777,2.050991344030468,0.0,0.571912250168379,0.1844958216072874,1.779958740071336,1.3161587636900292,1.6371866158288673,3.6790714291506967,2.375213108516975
6/4,1.7423604434712905,1.4533740142540938,1.448074728790257,1.0691295218226076,1.2426393679204255,1.226996520213322,1.2371016162813258,0.9834575355577644,1.4260218443708879,1.3173445917394495,0.17885668969107618,1.861380378003388,0.571912250168379,0.0,0.5240224645416621,1.732751831216743,1.2585831744204157,1.532713086343538,3.4538366349559375,2.1556899878715083
9/4,1.7881970880719382,1.4725780115743772,1.4844679857631502,1.2264637718362361,1.2609316794164562,1.0861603474989177,1.2732070510642894,1.1428908660453205,1.6956431051852519,1.5938571688858252,0.574064342815305,2.099986505736156,0.1844958216072874,0.5240224645416621,0.0,1.7514942771371529,1.2625090333386704,1.527241141744452,3.7323241338536004,2.34728657160716
bc12,2.3492613507468145,1.4187432839262148,1.4665764615925918,1.2686558685193914,1.306101922949829,1.3153884198088388,1.3521394837980825,1.2304973952373277,2.32709733203253,2.250825872611015,1.759672949936043,2.3683950990811624,1.779958740071336,1.732751831216743,1.7514942771371529,0.0,2.4208397543577864,1.9883380930045633,4.033425013636654,3.1103727436838122
bc8,2.76339711883103,2.462810187313962,2.463117746962628,2.208662028879656,2.2525570492566733,2.228734715968673,2.2526717420512137,2.1178565658355466,2.4395604317236406,2.344733997370035,1.3109829769880035,2.9525040423525586,1.3161587636900292,1.2585831744204157,1.2625090333386704,2.4208397543577864,0.0,1.4142135623730951,4.390071442781687,2.0
bc4,3.104249287084341,2.51202300263175,2.512488401223459,2.2071441381463903,2.250893514376732,2.2274000675525847,2.2511478991248537,2.089241237809631,2.712765879466653,2.600582551723907,1.639656837068747,3.1166874275784666,1.6371866158288673,1.532713086343538,1.527241141744452,1.9883380930045633,1.4142135623730951,0.0,4.612236688714845,2.449489742783178
bc48,3.2154427884937453,3.4024183075322756,3.2824858270922634,3.124875788950948,3.4838280361399963,3.479796372737125,3.3808750715595597,3.192495031148593,2.240553651730541,2.326437020349018,3.3764469985028507,2.005203865806882,3.6790714291506967,3.4538366349559375,3.7323241338536004,4.033425013636654,4.390071442781687,4.612236688714845,0.0,3.9080336836735783
