,4n,8n,16n,32n,8nt,16nt,32nt,4nt
4n,0.0,0.5455551821177647,0.7121650780004665,0.8004283187228511,0.8355326217156843,0.8607906973760867,0.887121556217291,2.914165515202395
8n,0.5455551821177647,0.0,0.2444731534379436,0.33783526637667105,0.6444725777729364,0.4102498118073215,0.43327599740701184,2.724984382603028
16n,0.7121650780004665,0.2444731534379436,0.0,0.11132499890831354,0.5825204219298648,0.2802756305458472,0.21778618080276543,2.639193740481654
32n,0.8004283187228511,0.33783526637667105,0.11132499890831354,0.0,0.5675596517433433,0.23243090189997476,0.12681169182261193,2.5971742451108875
8nt,0.8355326217156843,0.6444725777729364,0.5825204219298648,0.5675596517433433,0.0,0.4753286029003512,0.5456174375390765,2.3727615179399164
16nt,0.8607906973760867,0.4102498118073215,0.2802756305458472,0.23243090189997476,0.4753286029003512,0.0,0.19141407495664559,2.510934147842145
32nt,0.887121556217291,0.43327599740701184,0.21778618080276543,0.12681169182261193,0.5456174375390765,0.19141407495664559,0.0,2.54305622144414
4nt,2.914165515202395,2.724984382603028,2.639193740481654,2.5971742451108875,2.3727615179399164,2.510934147842145,2.54305622144414,0.0
