,4n,16nt,8nt,32nt,8n,16n,32n,4nt
4n,0.0,1.054943449411222,1.0867223482124664,1.2366158944983916,1.2479047578205584,1.3032722805470063,1.3121458509605268,18.055382926479002
16nt,1.054943449411222,0.0,1.3601351436453335,0.5132558629726184,0.4473033752672216,0.5961126431871283,0.6166006664045145,18.231908020974462
8nt,1.0867223482124664,1.3601351436453335,0.0,1.5406144570785576,1.5899549205785324,1.62993489811429,1.63664054044979,18.120551949031565
32nt,1.2366158944983916,0.5132558629726184,1.5406144570785576,0.0,0.3565547945327653,0.15502054910606192,0.22376487377896392,18.160402414036298
8n,1.2479047578205584,0.4473033752672216,1.5899549205785324,0.3565547945327653,0.0,0.4006859494761957,0.4314362081796131,18.156873534124575
16n,1.3032722805470063,0.5961126431871283,1.62993489811429,0.15502054910606192,0.4006859494761957,0.0,0.16234321715120542,18.16455172129053
32n,1.3121458509605268,0.6166006664045145,1.63664054044979,0.22376487377896392,0.4314362081796131,0.16234321715120542,0.0,18.165832769805256
4nt,18.055382926479002,18.231908020974462,18.120551949031565,18.160402414036298,18.156873534124575,18.16455172129053,18.165832769805256,0.0
