,2/2,4/4,2/4,3/4,5/4,7/4,6/4,5/8,7/8,9/4,6/8,9/8,12/8,12/4
2/2,0.0,0.0,0.5786380864427688,0.7838562759177916,0.794046049518828,0.7954041870425426,0.9820399525818694,1.035743155397374,1.037832443760916,1.0769196136388108,1.1108058073430815,1.1834883827448277,1.286515329008304,1.5296758125022638
4/4,0.0,0.0,0.5786380864427688,0.7838562759177916,0.794046049518828,0.7954041870425426,0.9820399525818694,1.035743155397374,1.037832443760916,1.0769196136388108,1.1108058073430815,1.1834883827448277,1.286515329008304,1.5296758125022638
2/4,0.5786380864427688,0.5786380864427688,0.0,0.3278928331353998,0.3527120988612451,0.35666490977410115,0.843922993026866,0.5695719223118384,0.5701970274684808,0.8754037077941605,0.7432510616211871,0.8138045777712369,1.131611619072428,1.6169889378390616
3/4,0.7838562759177916,0.7838562759177916,0.3278928331353998,0.0,0.370540894237405,0.3785031157837618,0.6656856836597653,0.584732868988244,0.5840037648773514,0.6640241793254249,0.5860017233292065,0.7201474983696009,0.9599607018447268,1.5210789885156788
5/4,0.794046049518828,0.794046049518828,0.3527120988612451,0.370540894237405,0.0,0.409015511661444,0.8991671830723164,0.5553061187359066,0.5970768804262566,0.8938972315106615,0.7619170218638296,0.8320556649706025,1.1731336029974986,1.6922162279245594
7/4,0.7954041870425426,0.7954041870425426,0.35666490977410115,0.3785031157837618,0.409015511661444,0.0,0.8989211827446119,0.6007009450693117,0.5777353290203622,0.8929758824695787,0.7643662168467119,0.8324071870479263,1.1717949552159483,1.6956809823490804
6/4,0.9820399525818694,0.9820399525818694,0.843922993026866,0.6656856836597653,0.8991671830723164,0.8989211827446119,0.0,1.1032565843939623,1.1002960485213027,0.42205283775965724,0.7544421828818575,0.9659411635599995,0.5069669730066296,0.9447122749858438
5/8,1.035743155397374,1.035743155397374,0.5695719223118384,0.584732868988244,0.5553061187359066,0.6007009450693117,1.1032565843939623,0.0,0.3201194510751704,1.095851525136583,0.667202423697537,0.6640809200026776,1.2320854081849202,1.8416627043183982
7/8,1.037832443760916,1.037832443760916,0.5701970274684808,0.5840037648773514,0.5970768804262566,0.5777353290203622,1.1002960485213027,0.3201194510751704,0.0,1.0918845228175225,0.6681476871130236,0.6662594488013395,1.2294764410028574,1.8394524997581958
9/4,1.0769196136388108,1.0769196136388108,0.8754037077941605,0.6640241793254249,0.8938972315106615,0.8929758824695787,0.42205283775965724,1.095851525136583,1.0918845228175225,0.0,0.7595094709150559,0.9360040869724515,0.6736903266937851,1.2045127208110995
6/8,1.1108058073430815,1.1108058073430815,0.7432510616211871,0.5860017233292065,0.7619170218638296,0.7643662168467119,0.7544421828818575,0.667202423697537,0.6681476871130236,0.7595094709150559,0.0,0.3219910860324843,0.6824258442941183,1.4811939341071059
9/8,1.1834883827448277,1.1834883827448277,0.8138045777712369,0.7201474983696009,0.8320556649706025,0.8324071870479263,0.9659411635599995,0.6640809200026776,0.6662594488013395,0.9360040869724515,0.3219910860324843,0.0,0.880315520569642,1.6414089991176128
12/8,1.286515329008304,1.286515329008304,1.131611619072428,0.9599607018447268,1.1731336029974986,1.1717949552159483,0.5069669730066296,1.2320854081849202,1.2294764410028574,0.6736903266937851,0.6824258442941183,0.880315520569642,0.0,0.9400461998927989
12/4,1.5296758125022638,1.5296758125022638,1.6169889378390616,1.5210789885156788,1.6922162279245594,1.6956809823490804,0.9447122749858438,1.8416627043183982,1.8394524997581958,1.2045127208110995,1.4811939341071059,1.6414089991176128,0.9400461998927989,0.0
