INDEX - DISTANCE - PATTERN - METER
56. - 0.175059858432 - [1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [12,4] 
57. - 0.175069774399 - [1,1,0,1,1,0,0,0,1,0,0,0] - [3,4] 
58. - 0.176341030601 - [1,0,0,0,1,0,0,1,1,0,1,0] - [3,4] 
59. - 0.176341030601 - [1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [6,4] 
60. - 0.177833848374 - [1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0] - [2,2] 
61. - 0.178249435558 - [1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1] - [2,2] 
62. - 0.178493897783 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0] - [12,8] 
63. - 0.178585757821 - [1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [6,4] 
64. - 0.178585757821 - [0,0,1,0,1,0,1,1,0,0,1,0] - [6,8] 
65. - 0.178607172371 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
66. - 0.178607172371 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
67. - 0.178909832652 - [1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0] - [12,8] 
68. - 0.179024323975 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0] - [12,8] 
69. - 0.179038385614 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
70. - 0.179154061618 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0] - [6,4] 
71. - 0.179154061618 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
72. - 0.179154061618 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0] - [12,8] 
73. - 0.179487787740 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [12,4] 
74. - 0.179487787740 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0] - [12,8] 
75. - 0.179996055350 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0] - [12,8] 
76. - 0.179996055350 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
77. - 0.179996055350 - [1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0] - [12,8] 
78. - 0.180655462432 - [1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0] - [5,4] 
79. - 0.183433836796 - [1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0] - [6,4] 
80. - 0.183641811146 - [1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0] - [9,8] 
81. - 0.184442328045 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0] - [12,8] 
82. - 0.185343658965 - [1,0,0,0,0,0,1,0,1,1,1,0] - [3,4] 
83. - 0.185969299000 - [1,0,1,1,0,0,1,0,1,0,0,0] - [3,4] 
84. - 0.185969299000 - [0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0] - [12,8] 
85. - 0.186242347388 - [1,1,0,0,1,0,1,0,0,0,0,1] - [6,8] 
86. - 0.186402145907 - [0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0] - [9,8] 
87. - 0.186424362907 - [0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0] - [9,4] 
88. - 0.186520747756 - [0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0] - [7,4] 
89. - 0.187039109785 - [1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0] - [9,8] 
90. - 0.187093824612 - [1,0,0,1,1,0,1,0,0,0,1,0] - [3,4] 
91. - 0.187093824612 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0] - [6,4] 
92. - 0.187331322389 - [1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0] - [6,4] 
93. - 0.187362058594 - [0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0] - [9,8] 
94. - 0.187910249062 - [1,0,0,0,1,0,0,0,1,0,1,1] - [3,4] 
95. - 0.188410820464 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0] - [9,4] 
96. - 0.188497525971 - [1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [6,4] 
97. - 0.188497525971 - [1,0,1,0,1,0,0,0,0,1,1,0] - [6,8] 
98. - 0.188497525971 - [1,1,0,0,0,0,1,0,1,0,1,0] - [6,8] 
99. - 0.188709255837 - [1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [9,4] 
100. - 0.188753342086 - [1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0] - [9,8] 
101. - 0.188940452416 - [1,0,0,0,0,1,1,0,1,0,1,0] - [3,4] 
102. - 0.189182378495 - [1,0,0,0,0,0,1,0,1,0,1,1] - [3,4] 
103. - 0.189182378495 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0] - [6,4] 
104. - 0.189186685659 - [1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
105. - 0.189449828530 - [1,0,0,0,0,1,1,1,0,0,1,0] - [6,8] 
106. - 0.189834680978 - [1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [5,4] 
107. - 0.190082738692 - [1,1,0,0,1,0,1,0,1,0,0,0] - [6,8] 
108. - 0.190678553976 - [1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [7,4] 
109. - 0.191758331783 - [1,0,0,1,1,1,1,0,0,0] - [5,8] 
110. - 0.191827171194 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0] - [9,4] 
111. - 0.191828868072 - [1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0] - [9,8] 
112. - 0.192208881123 - [1,1,0,0,0,0,1,0,1,0,1,0,0,0] - [7,8] 
113. - 0.192714348573 - [0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0] - [5,4] 
114. - 0.192835262334 - [1,0,0,0,0,0,1,1,0,0,1,1] - [6,8] 
115. - 0.192925320809 - [1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0] - [6,4] 
116. - 0.192925320809 - [1,0,0,0,1,1,1,0,1,0,0,0] - [6,8] 
117. - 0.192942393361 - [1,0,0,0,1,0,1,1,0,0,0,1] - [3,4] 
118. - 0.192970630730 - [1,0,1,0,1,0,1,0,0,0,0,1] - [6,8] 
119. - 0.193606767409 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0] - [9,4] 
120. - 0.193616988613 - [0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0] - [7,4] 
121. - 0.193645500064 - [1,0,0,0,0,0,1,1,1,0,0,0,1,0] - [7,8] 
122. - 0.193703731267 - [1,0,0,0,1,0,0,0,1,1,1,0] - [3,4] 
123. - 0.193763852785 - [1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0] - [7,4] 
124. - 0.193872399034 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0] - [7,4] 
125. - 0.193965342761 - [1,0,0,0,0,0,0,0,1,0,1,0,1,1] - [7,8] 
126. - 0.193979911994 - [1,0,0,0,1,0,1,0,1,0,0,1] - [3,4] 
127. - 0.193979911994 - [1,0,0,0,1,0,1,0,1,0,0,1] - [6,8] 
128. - 0.194095906506 - [1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1] - [5,4] 
129. - 0.194203991373 - [0,0,0,0,1,0,1,0,0,0,1,0,1,1] - [7,8] 
130. - 0.194459060845 - [1,0,1,0,0,0,1,1,1,0,0,0,0,0] - [7,8] 
131. - 0.194495074156 - [1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0] - [5,4] 
132. - 0.194495074156 - [1,0,0,1,0,0,1,0,1,1] - [5,8] 
133. - 0.194542763557 - [1,0,0,0,1,0,1,0,0,0,1,0,0,1] - [7,8] 
134. - 0.194654434740 - [1,0,0,1,1,0,1,0,0,0,1,0,0,0] - [7,8] 
135. - 0.195000248501 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0] - [7,4] 
136. - 0.195215763867 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [9,4] 
137. - 0.195215763867 - [1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0] - [9,8] 
138. - 0.195263879227 - [0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [7,4] 
