,4n,8nt,8n,16n,32n,32nt,16nt,4nt
4n,0.0,1.0867223482124664,12.073972608271633,12.09600118768639,12.098740908751443,12.126107368231448,12.29812426895046,14.03600999441095
8nt,1.0867223482124664,0.0,11.775522294836037,11.79757747477699,11.80033124567072,11.823627799737125,11.995513447455172,13.534768845125456
8n,12.073972608271633,11.775522294836037,0.0,0.4006859494761957,0.4314362081796131,0.3565547945327653,0.4473033752672216,15.72408448025846
16n,12.09600118768639,11.79757747477699,0.4006859494761957,0.0,0.16234321715120542,0.15502054910606192,0.5961126431871283,15.734553309426216
32n,12.098740908751443,11.80033124567072,0.4314362081796131,0.16234321715120542,0.0,0.22376487377896392,0.6166006664045145,15.73633206475543
32nt,12.126107368231448,11.823627799737125,0.3565547945327653,0.15502054910606192,0.22376487377896392,0.0,0.5132558629726184,15.742379380166774
16nt,12.29812426895046,11.995513447455172,0.4473033752672216,0.5961126431871283,0.6166006664045145,0.5132558629726184,0.0,15.897563321521172
4nt,14.03600999441095,13.534768845125456,15.72408448025846,15.734553309426216,15.73633206475543,15.742379380166774,15.897563321521172,0.0
