,4n,8n,16n,32n,8nt,16nt,32nt,4nt
4n,0.0,0.5547112273874788,0.72032052133161,0.807684897541489,0.8482077476226279,0.8678040622261615,0.8935380090121094,2.9873522895268954
8n,0.5547112273874788,0.0,0.24817000002780407,0.34093198241082673,0.6652711819026759,0.4147393497243119,0.4358713060467515,2.7965884545075985
16n,0.72032052133161,0.24817000002780407,0.0,0.11269619862445654,0.6056220215469754,0.2892557495730801,0.21905126907676714,2.709128417299108
32n,0.807684897541489,0.34093198241082673,0.11269619862445654,0.0,0.5907574055081073,0.24347218758321737,0.13001679848847444,2.666029175303401
8nt,0.8482077476226279,0.6652711819026759,0.6056220215469754,0.5907574055081073,0.0,0.5043032998521988,0.5673084915545064,2.438007053318424
16nt,0.8678040622261615,0.4147393497243119,0.2892557495730801,0.24347218758321737,0.5043032998521988,0.0,0.2053186854005123,2.579581496080381
32nt,0.8935380090121094,0.4358713060467515,0.21905126907676714,0.13001679848847444,0.5673084915545064,0.2053186854005123,0.0,2.6106917610270366
4nt,2.9873522895268954,2.7965884545075985,2.709128417299108,2.666029175303401,2.438007053318424,2.579581496080381,2.6106917610270366,0.0
