,c3,6/8,9/8,c6,c2,5/8,7/8,3/4,12/8,5/4,7/4,2/4,9/4,6/4,c4,2/2,4/4,12/4,c12,c8
c3,0.0,0.741121913254345,0.7514283766781108,0.9851504736828418,0.9985283792228454,1.0067963551570571,1.0135284268228382,1.028385285736177,1.046095754705806,1.117635180980993,1.12166555373385,1.1237824769498568,1.1563668290545643,1.157299196068388,1.4090291046251149,1.4114315069764412,1.4114315069764412,1.7175211749023243,1.968507919044107,1.9880347076139728
6/8,0.741121913254345,0.0,0.30453983461398626,0.8346376729965916,0.6299130617273755,0.6463896757764869,0.65546483381469,0.5673312421773511,0.6696423389076898,0.7369892075803461,0.7422473701266755,0.743087832623007,0.7379838133712118,0.7358317833287117,1.07416059618284,1.1076367221212904,1.1076367221212904,1.456312003638819,1.7147604564809344,1.7676827799324082
9/8,0.7514283766781108,0.30453983461398626,0.0,0.8546469303976725,0.6284309028163497,0.6459772190644764,0.6501652454645972,0.7042037034979899,0.8556871997650715,0.8005386696379058,0.8120146588472341,0.8137409931192062,0.8849017564446927,0.9382226669709148,1.1769529636693625,1.1797742588723776,1.1797742588723776,1.6052474740371598,1.904017427748976,1.8318304049988523
c6,0.9851504736828418,0.8346376729965916,0.8546469303976725,0.0,1.4059673488550548,1.404077573822081,1.411497463796868,1.3514111467723808,0.8692052601843283,1.4810200781242244,1.4847925276607816,1.4977175486956547,1.2474692114694004,1.2409496463860505,1.7253243712550144,1.7201513242621425,1.7201513242621425,1.6199807587834578,1.6916300351260647,2.2160701277379324
c2,0.9985283792228454,0.6299130617273755,0.6284309028163497,1.4059673488550548,0.0,0.22108807311395806,0.23035179007344966,0.5411042389377494,1.211834996535368,0.5524848344170975,0.5578057911536867,0.5257394130651457,1.0724052774225061,1.0807258406403695,1.0,1.014468479783025,1.014468479783025,1.8306739106385947,2.225643361388572,1.7320508075688772
5/8,1.0067963551570571,0.6463896757764869,0.6459772190644764,1.404077573822081,0.22108807311395806,0.0,0.3003589447482924,0.5729916088717013,1.207479404625368,0.5215003231176772,0.5878618572430745,0.5687515443763678,1.0683015934019662,1.081466844281392,1.0234641364243533,1.0340631848071955,1.0340631848071955,1.8130633808584724,2.2131261168934677,1.743569536129644
7/8,1.0135284268228382,0.65546483381469,0.6501652454645972,1.411497463796868,0.23035179007344966,0.3003589447482924,0.0,0.5775099745284954,1.2080245851389662,0.5852483043836048,0.5527134941520594,0.5701151230850959,1.07701095509979,1.0813346887088815,1.0222816614244599,1.0353574208397751,1.0353574208397751,1.808727075577081,2.219465800378109,1.7438928972480268
3/4,1.028385285736177,0.5673312421773511,0.7042037034979899,1.3514111467723808,0.5411042389377494,0.5729916088717013,0.5775099745284954,0.0,0.9246458469814107,0.3482017305426329,0.3567185381349066,0.3278551527953735,0.6385119693339508,0.6390281719327301,0.5786121950695781,0.7808585109320324,0.7808585109320324,1.4887604469537363,1.8159956655955014,1.523699348862208
12/8,1.046095754705806,0.6696423389076898,0.8556871997650715,0.8692052601843283,1.211834996535368,1.207479404625368,1.2080245851389662,0.9246458469814107,0.0,1.1377645916950603,1.139675432255324,1.1269124438945834,0.6374291137888402,0.47861793700640326,1.285580021628669,1.2802040909958925,1.2802040909958925,0.8969738840542739,1.159714159305838,1.7614289935506746
5/4,1.117635180980993,0.7369892075803461,0.8005386696379058,1.4810200781242244,0.5524848344170975,0.5215003231176772,0.5852483043836048,0.3482017305426329,1.1377645916950603,0.0,0.37732880591959905,0.35062914006168744,0.8504890852576493,0.8642078005216504,0.5923524086130485,0.7908579820928363,0.7908579820928363,1.648587715676394,2.036453378951739,1.531677149240665
7/4,1.12166555373385,0.7422473701266755,0.8120146588472341,1.4847925276607816,0.5578057911536867,0.5878618572430745,0.5527134941520594,0.3567185381349066,1.139675432255324,0.37732880591959905,0.0,0.3566170839176929,0.8639303179444312,0.8666512467689604,0.598032738894366,0.793012258147808,0.793012258147808,1.6509357310260633,2.0385146390922295,1.5294049088206862
2/4,1.1237824769498568,0.743087832623007,0.8137409931192062,1.4977175486956547,0.5257394130651457,0.5687515443763678,0.5701151230850959,0.3278551527953735,1.1269124438945834,0.35062914006168744,0.3566170839176929,0.0,0.8750964606892008,0.8422062190824534,0.562734398147889,0.5713625498910355,0.5713625498910355,1.6136071788100435,2.063015472803755,1.3073913125452439
9/4,1.1563668290545643,0.7379838133712118,0.8849017564446927,1.2474692114694004,1.0724052774225061,1.0683015934019662,1.07701095509979,0.6385119693339508,0.6374291137888402,0.8504890852576493,0.8639303179444312,0.8750964606892008,0.0,0.39968556162363067,0.889204868285702,1.073629668142576,1.073629668142576,1.1537106893286961,1.2957208616227913,1.654000426290441
6/4,1.157299196068388,0.7358317833287117,0.9382226669709148,1.2409496463860505,1.0807258406403695,1.081466844281392,1.0813346887088815,0.6390281719327301,0.47861793700640326,0.8642078005216504,0.8666512467689604,0.8422062190824534,0.39968556162363067,0.0,0.8892996439540389,0.9793272886944041,0.9793272886944041,0.9178152456875875,1.2689462382606684,1.5172427005348845
c4,1.4090291046251149,1.07416059618284,1.1769529636693625,1.7253243712550144,1.0,1.0234641364243533,1.0222816614244599,0.5786121950695781,1.285580021628669,0.5923524086130485,0.598032738894366,0.562734398147889,0.889204868285702,0.8892996439540389,0.0,0.7487936309057044,0.7487936309057044,1.65097119916055,1.9883380930045633,1.4142135623730951
2/2,1.4114315069764412,1.1076367221212904,1.1797742588723776,1.7201513242621425,1.014468479783025,1.0340631848071955,1.0353574208397751,0.7808585109320324,1.2802040909958925,0.7908579820928363,0.793012258147808,0.5713625498910355,1.073629668142576,0.9793272886944041,0.7487936309057044,0.0,0.0,1.5239735416949591,2.1084477335637737,0.8680149559175657
4/4,1.4114315069764412,1.1076367221212904,1.1797742588723776,1.7201513242621425,1.014468479783025,1.0340631848071955,1.0353574208397751,0.7808585109320324,1.2802040909958925,0.7908579820928363,0.793012258147808,0.5713625498910355,1.073629668142576,0.9793272886944041,0.7487936309057044,0.0,0.0,1.5239735416949591,2.1084477335637737,0.8680149559175657
12/4,1.7175211749023243,1.456312003638819,1.6052474740371598,1.6199807587834578,1.8306739106385947,1.8130633808584724,1.808727075577081,1.4887604469537363,0.8969738840542739,1.648587715676394,1.6509357310260633,1.6136071788100435,1.1537106893286961,0.9178152456875875,1.65097119916055,1.5239735416949591,1.5239735416949591,0.0,1.2157884911367243,1.7661364680496185
c12,1.968507919044107,1.7147604564809344,1.904017427748976,1.6916300351260647,2.225643361388572,2.2131261168934677,2.219465800378109,1.8159956655955014,1.159714159305838,2.036453378951739,2.0385146390922295,2.063015472803755,1.2957208616227913,1.2689462382606684,1.9883380930045633,2.1084477335637737,2.1084477335637737,1.2157884911367243,0.0,2.4208397543577864
c8,1.9880347076139728,1.7676827799324082,1.8318304049988523,2.2160701277379324,1.7320508075688772,1.743569536129644,1.7438928972480268,1.523699348862208,1.7614289935506746,1.531677149240665,1.5294049088206862,1.3073913125452439,1.654000426290441,1.5172427005348845,1.4142135623730951,0.8680149559175657,0.8680149559175657,1.7661364680496185,2.4208397543577864,0.0
