,4/4,12/8,12/4,2/4,2/2,6/8,5/4,3/4,7/4,5/8,7/8,9/8,6/4,9/4
4/4,0.0,0.48220410612139725,0.5483129932684492,1.0201929387178665,1.1186280622504208,1.3218236903533576,1.4178700995384717,1.4216531219864073,1.439489299715909,1.452920774771899,1.483433963881192,1.6102336701786044,1.9044228233882794,1.9249928903652342
12/8,0.48220410612139725,0.0,0.20842447850125959,1.0606528166023843,1.1034296082927675,0.9963093002227995,1.4179034294574477,1.4189048552780248,1.4375467143270504,1.4230466892879403,1.452132018582977,1.3278161772167882,1.7495810069327702,1.9192870892340355
12/4,0.5483129932684492,0.20842447850125959,0.0,0.951957999160771,0.9686367569780797,0.8839881233514075,1.3172563758888818,1.3169091086368212,1.3380452884624168,1.4107818763482625,1.4384375397421327,1.222349311654145,1.5587743873989937,1.8770863635633115
2/4,1.0201929387178665,1.0606528166023843,0.951957999160771,0.0,0.24824225219646642,0.889967113927651,0.6739648051989073,0.6312282584820126,0.6890774954854918,1.1134194803135073,1.1257669063696036,1.0583983946834,1.176785289002087,1.5998080201824771
2/2,1.1186280622504208,1.1034296082927675,0.9686367569780797,0.24824225219646642,0.0,0.8142940941173114,0.6929609117422793,0.6516106529266873,0.7086450343649259,1.1946149630957745,1.205775102832635,0.9779211544403207,1.0056492880434735,1.6311801470006917
6/8,1.3218236903533576,0.9963093002227995,0.8839881233514075,0.889967113927651,0.8142940941173114,0.0,1.083997112623915,1.0565969444714574,1.0919703697775247,1.2846343408033765,1.2948924084122362,0.5225510661623979,1.0943337092147427,1.7766547001006594
5/4,1.4178700995384717,1.4179034294574477,1.3172563758888818,0.6739648051989073,0.6929609117422793,1.083997112623915,0.0,0.7298369562429987,0.7780327768167175,0.8238590428802769,1.1825117457045673,1.119300194578995,1.229335979558506,1.6602487436527051
3/4,1.4216531219864073,1.4189048552780248,1.3169091086368212,0.6312282584820126,0.6516106529266873,1.0565969444714574,0.7298369562429987,0.0,0.7308116776634954,1.1469017338989673,1.1494515773390208,0.9094396339598221,1.2061191123323136,1.2024000454486266
7/4,1.439489299715909,1.4375467143270504,1.3380452884624168,0.6890774954854918,0.7086450343649259,1.0919703697775247,0.7780327768167175,0.7308116776634954,0.0,1.1745679038025556,0.8164034064318474,1.1208118703871859,1.2412669401574141,1.6417034823733287
5/8,1.452920774771899,1.4230466892879403,1.4107818763482625,1.1134194803135073,1.1946149630957745,1.2846343408033765,0.8238590428802769,1.1469017338989673,1.1745679038025556,0.0,0.9636385332139437,1.3226969514180453,1.8592038156050996,1.7339910201054858
7/8,1.483433963881192,1.452132018582977,1.4384375397421327,1.1257669063696036,1.205775102832635,1.2948924084122362,1.1825117457045673,1.1494515773390208,0.8164034064318474,0.9636385332139437,0.0,1.325741728867053,1.8644982053101025,1.7142369397993586
9/8,1.6102336701786044,1.3278161772167882,1.222349311654145,1.0583983946834,0.9779211544403207,0.5225510661623979,1.119300194578995,0.9094396339598221,1.1208118703871859,1.3226969514180453,1.325741728867053,0.0,1.1072208202569873,1.504766167559282
6/4,1.9044228233882794,1.7495810069327702,1.5587743873989937,1.176785289002087,1.0056492880434735,1.0943337092147427,1.229335979558506,1.2061191123323136,1.2412669401574141,1.8592038156050996,1.8644982053101025,1.1072208202569873,0.0,2.042289097077807
9/4,1.9249928903652342,1.9192870892340355,1.8770863635633115,1.5998080201824771,1.6311801470006917,1.7766547001006594,1.6602487436527051,1.2024000454486266,1.6417034823733287,1.7339910201054858,1.7142369397993586,1.504766167559282,2.042289097077807,0.0
