dataset,total,high,medium,low,mean,std
b_histo,23,10,6,7,0.624223602484472,0.21809999833639052
p_histo,23,1,6,16,0.3260869565217391,0.26877262762010934
m_histo,23,8,7,8,0.5341614906832298,0.3137414578971938
