dataset,total,high,medium,low,mean,std
b_histo,23,7,11,5,0.6155592151403058,0.2043889926106104
p_histo,23,2,7,14,0.3790495336025301,0.28316556061710035
m_histo,23,9,7,7,0.5285429910105243,0.33243541511141617
