Index,Distance,Pattern,Meter,Method
58,0.174,"[1,0,1,0,0,0,1,0,0,1,1,0]","[6,8]",metricSync
59,0.174,"[1,1,0,0,1,0,0,0,1,0,1,0]","[3,4]",metricSync
60,0.175,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0]","[6,4]",metricSync
61,0.176,"[1,0,0,0,1,0,0,1,1,0,1,0]","[3,4]",metricSync
62,0.176,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
63,0.178,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0]","[12,8]",metricSync
64,0.179,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]","[6,4]",metricSync
65,0.179,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
66,0.179,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
67,0.179,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
68,0.179,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1]","[12,8]",metricSync
69,0.179,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
70,0.179,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[12,4]",metricSync
71,0.179,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0]","[12,8]",metricSync
72,0.18,"[1,0,1,0,1,0,0,0,1,0,0,1]","[3,4]",metricSync
73,0.18,"[1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
74,0.18,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
75,0.18,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
76,0.18,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
77,0.18,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
