Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c2,c4,c8,c3,c6,c12
2/2,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,1.014468479783025,0.7487936309057044,0.8680149559175657,1.4114315069764412,1.7201513242621425,2.1084477335637737
2/4,0.5713625498910355,0.0,0.3278551527953735,0.5713625498910355,0.35062914006168744,0.8422062190824534,0.3566170839176929,0.8750964606892008,1.6136071788100435,0.5687515443763678,0.743087832623007,0.5701151230850959,0.8137409931192062,1.1269124438945834,0.5257394130651457,0.562734398147889,1.3073913125452439,1.1237824769498568,1.4977175486956547,2.063015472803755
3/4,0.7808585109320324,0.3278551527953735,0.0,0.7808585109320324,0.3482017305426329,0.6390281719327301,0.3567185381349066,0.6385119693339508,1.4887604469537363,0.5729916088717013,0.5673312421773511,0.5775099745284954,0.7042037034979899,0.9246458469814107,0.5411042389377494,0.5786121950695781,1.523699348862208,1.028385285736177,1.3514111467723808,1.8159956655955014
4/4,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,1.014468479783025,0.7487936309057044,0.8680149559175657,1.4114315069764412,1.7201513242621425,2.1084477335637737
5/4,0.7908579820928363,0.35062914006168744,0.3482017305426329,0.7908579820928363,0.0,0.8642078005216504,0.37732880591959905,0.8504890852576493,1.648587715676394,0.5215003231176772,0.7369892075803461,0.5852483043836048,0.8005386696379058,1.1377645916950603,0.5524848344170975,0.5923524086130485,1.531677149240665,1.117635180980993,1.4810200781242244,2.036453378951739
6/4,0.9793272886944041,0.8422062190824534,0.6390281719327301,0.9793272886944041,0.8642078005216504,0.0,0.8666512467689604,0.39968556162363067,0.9178152456875875,1.081466844281392,0.7358317833287117,1.0813346887088815,0.9382226669709148,0.47861793700640326,1.0807258406403695,0.8892996439540389,1.5172427005348845,1.157299196068388,1.2409496463860505,1.2689462382606684
7/4,0.793012258147808,0.3566170839176929,0.3567185381349066,0.793012258147808,0.37732880591959905,0.8666512467689604,0.0,0.8639303179444312,1.6509357310260633,0.5878618572430745,0.7422473701266755,0.5527134941520594,0.8120146588472341,1.139675432255324,0.5578057911536867,0.598032738894366,1.5294049088206862,1.12166555373385,1.4847925276607816,2.0385146390922295
9/4,1.073629668142576,0.8750964606892008,0.6385119693339508,1.073629668142576,0.8504890852576493,0.39968556162363067,0.8639303179444312,0.0,1.1537106893286961,1.0683015934019662,0.7379838133712118,1.07701095509979,0.8849017564446927,0.6374291137888402,1.0724052774225061,0.889204868285702,1.654000426290441,1.1563668290545643,1.2474692114694004,1.2957208616227913
12/4,1.5239735416949591,1.6136071788100435,1.4887604469537363,1.5239735416949591,1.648587715676394,0.9178152456875875,1.6509357310260633,1.1537106893286961,0.0,1.8130633808584724,1.456312003638819,1.808727075577081,1.6052474740371598,0.8969738840542739,1.8306739106385947,1.65097119916055,1.7661364680496185,1.7175211749023243,1.6199807587834578,1.2157884911367243
5/8,1.0340631848071955,0.5687515443763678,0.5729916088717013,1.0340631848071955,0.5215003231176772,1.081466844281392,0.5878618572430745,1.0683015934019662,1.8130633808584724,0.0,0.6463896757764869,0.3003589447482924,0.6459772190644764,1.207479404625368,0.22108807311395806,1.0234641364243533,1.743569536129644,1.0067963551570571,1.404077573822081,2.2131261168934677
