Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c2,c4,c8,c3,c6,c12
2/2,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,1.014468479783025,0.7489918511772954,0.8697984844468629,1.418914043257347,1.726418696133,2.1130271398227913
2/4,0.5786380864427688,0.0,0.3278928331353998,0.5786380864427688,0.3527120988612451,0.843922993026866,0.35666490977410115,0.8754037077941605,1.6169889378390616,0.5695719223118384,0.7432510616211871,0.5701970274684808,0.8138045777712369,1.131611619072428,0.5257394130651457,0.5639986926823572,1.318067584996503,1.1264513455543492,1.4981210555223938,2.0635106246913724
3/4,0.7838562759177916,0.3278928331353998,0.0,0.7838562759177916,0.370540894237405,0.6656856836597653,0.3785031157837618,0.6640241793254249,1.5210789885156788,0.584732868988244,0.5860017233292065,0.5840037648773514,0.7201474983696009,0.9599607018447268,0.5411042389377494,0.5800299333513744,1.5242880084787516,1.0393274369564403,1.361315324077826,1.8598798534198269
4/4,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,1.014468479783025,0.7489918511772954,0.8697984844468629,1.418914043257347,1.726418696133,2.1130271398227913
5/4,0.794046049518828,0.3527120988612451,0.370540894237405,0.794046049518828,0.0,0.8991671830723164,0.409015511661444,0.8938972315106615,1.6922162279245594,0.5553061187359066,0.7619170218638296,0.5970768804262566,0.8320556649706025,1.1731336029974986,0.5524848344170975,0.5939218255850602,1.5352136090540538,1.1382890962295513,1.5062602859190615,2.071177677140781
6/4,0.9820399525818694,0.843922993026866,0.6656856836597653,0.9820399525818694,0.8991671830723164,0.0,0.8989211827446119,0.42205283775965724,0.9447122749858438,1.1032565843939623,0.7544421828818575,1.1002960485213027,0.9659411635599995,0.5069669730066296,1.0807258406403695,0.8895642827125796,1.517470640363029,1.1789894124999782,1.266510804220951,1.2901286978175406
7/4,0.7954041870425426,0.35666490977410115,0.3785031157837618,0.7954041870425426,0.409015511661444,0.8989211827446119,0.0,0.8929758824695787,1.6956809823490804,0.6007009450693117,0.7643662168467119,0.5777353290203622,0.8324071870479263,1.1717949552159483,0.5578057911536867,0.5996695597272336,1.530168430070586,1.140207965359475,1.507346399928551,2.0702708055783265
9/4,1.0769196136388108,0.8754037077941605,0.6640241793254249,1.0769196136388108,0.8938972315106615,0.42205283775965724,0.8929758824695787,0.0,1.2045127208110995,1.095851525136583,0.7595094709150559,1.0918845228175225,0.9360040869724515,0.6736903266937851,1.0724052774225061,0.8895032535432705,1.6541658579813823,1.1807436055382108,1.2767201880471377,1.3236420219440284
12/4,1.5296758125022638,1.6169889378390616,1.5210789885156788,1.5296758125022638,1.6922162279245594,0.9447122749858438,1.6956809823490804,1.2045127208110995,0.0,1.8416627043183982,1.4811939341071059,1.8394524997581958,1.6414089991176128,0.9400461998927989,1.8306739106385945,1.6510182990933666,1.7661879201260997,1.7542454312800582,1.673619661483673,1.2750776518806126
5/8,1.035743155397374,0.5695719223118384,0.584732868988244,1.035743155397374,0.5553061187359066,1.1032565843939623,0.6007009450693117,1.095851525136583,1.8416627043183982,0.0,0.667202423697537,0.3201194510751704,0.6640809200026776,1.2320854081849202,0.2210880731139581,1.0241483955332071,1.7440970295374234,1.021405466781219,1.421621645564474,2.2386725200968014
6/8,1.1108058073430815,0.7432510616211871,0.5860017233292065,1.1108058073430815,0.7619170218638296,0.7544421828818575,0.7643662168467119,0.7595094709150559,1.4811939341071059,0.667202423697537,0.0,0.6681476871130236,0.3219910860324843,0.6824258442941183,0.6299130617273753,1.0742061982982847,1.7691240987642682,0.752373590844862,0.8531364454153678,1.7281865157727403
7/8,1.037832443760916,0.5701970274684808,0.5840037648773514,1.037832443760916,0.5970768804262566,1.1002960485213027,0.5777353290203622,1.0918845228175225,1.8394524997581958,0.3201194510751704,0.6681476871130236,0.0,0.6662594488013395,1.2294764410028574,0.23035179007344964,1.0224138048887819,1.7441025091176028,1.0236017727391715,1.423513149339101,2.2339084964603497
9/8,1.1834883827448277,0.8138045777712369,0.7201474983696009,1.1834883827448277,0.8320556649706025,0.9659411635599995,0.8324071870479263,0.9360040869724515,1.6414089991176128,0.6640809200026776,0.3219910860324843,0.6662594488013395,0.0,0.880315520569642,0.62843090281635,1.1769541997466937,1.832779104676155,0.7661118797523072,0.8782185626960577,1.9298784519711734
