Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c2,c4,c8,c3,c6,c12
2/2,0.0,0.6843871413472937,28.432970106639296,0.0,35.1561443320996,18.401404183515773,25.265820088582135,19.978995049958215,17.298453082751973,18.46107393830861,16.353206557271825,34.010535245597595,18.594701189755288,17.850828662621215,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,18.578506662781944,16.589661368415243
2/4,0.6843871413472937,0.0,28.523456686478596,0.6843871413472937,35.18845094481881,18.50578478805124,25.34666740515811,19.937734219401737,17.279784262109146,18.477226060803872,16.427084826636968,34.057016770868444,18.593341538180585,17.94303323255838,0.42247283489375725,0.42247283489375725,0.42247283489375725,16.71166713629612,18.617480552722668,16.69390255421013
3/4,28.432970106639296,28.523456686478596,0.0,28.432970106639296,34.125076228529075,22.898955162697447,27.936758925379312,26.149157591027354,27.24092276646472,29.156415720450376,19.138310024481502,30.69617890438257,24.481799478143923,22.957099465957935,28.523596276963243,28.523596276963243,28.523596276963243,29.270809188141307,24.51779475602692,16.949559310352193
4/4,0.0,0.6843871413472937,28.432970106639296,0.0,35.1561443320996,18.401404183515773,25.265820088582135,19.978995049958215,17.298453082751973,18.46107393830861,16.353206557271825,34.010535245597595,18.594701189755288,17.850828662621215,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,18.578506662781944,16.589661368415243
5/4,35.1561443320996,35.18845094481881,34.125076228529075,35.1561443320996,0.0,36.204678305421304,33.918231983026736,37.541295556916005,35.95347786062469,30.85212169450442,35.55850362997119,43.07658936140947,36.584387410995475,36.915252557914904,35.14326771784524,35.14326771784524,35.14326771784524,38.96976251498342,34.30162867422132,34.384636601189634
6/4,18.401404183515773,18.50578478805124,22.898955162697447,18.401404183515773,36.204678305421304,0.0,24.761561058104085,21.32478376973932,11.238987135435892,24.89383483838249,14.09983663424629,36.50422715655989,23.000457607124755,9.637393043132661,18.50200164121698,18.50200164121698,18.50200164121698,22.508173060087884,19.426713822445752,13.447276588709425
7/4,25.265820088582135,25.34666740515811,27.936758925379312,25.265820088582135,33.918231983026736,24.761561058104085,0.0,30.88208204869528,27.69901165497887,29.55751784145341,25.62511733122233,37.18389094757981,29.510552349524016,24.828645223407875,25.347988238011173,25.347988238011173,25.347988238011173,28.49227524949842,27.72584539043654,25.077354427586794
9/4,19.978995049958215,19.937734219401737,26.149157591027354,19.978995049958215,37.541295556916005,21.32478376973932,30.88208204869528,0.0,20.24135471340572,25.672642935938065,17.304401555270093,38.67192816632699,21.70201885681352,20.060721408527883,19.934063089033614,19.934063089033614,19.934063089033614,23.985603366378804,21.495676523734478,17.09199415971986
12/4,17.298453082751973,17.279784262109146,27.24092276646472,17.298453082751973,35.95347786062469,11.238987135435892,27.69901165497887,20.24135471340572,0.0,24.402031991131086,17.749168896501704,37.53756644426048,24.246145903897418,14.2321979164725,17.274858561808653,17.274858561808653,17.274858561808653,22.610055528103516,21.433103355061352,17.744975132146173
5/8,18.46107393830861,18.477226060803872,29.156415720450376,18.46107393830861,30.85212169450442,24.89383483838249,29.55751784145341,25.672642935938065,24.402031991131086,0.0,21.092569834596933,37.83840210519596,24.530438325091687,25.55795116789392,18.457004285366466,18.457004285366466,18.457004285366466,23.64756809627998,21.96947311156521,21.699889331682517
6/8,16.353206557271825,16.427084826636968,19.138310024481502,16.353206557271825,35.55850362997119,14.09983663424629,25.62511733122233,17.304401555270093,17.749168896501704,21.092569834596933,0.0,36.06434781931511,14.959413871831158,12.524315356422848,16.443057672920688,16.443057672920688,16.443057672920688,18.784284473758003,10.528083137635672,5.8070384362021255
7/8,34.010535245597595,34.057016770868444,30.69617890438257,34.010535245597595,43.07658936140947,36.50422715655989,37.18389094757981,38.67192816632699,37.53756644426048,37.83840210519596,36.06434781931511,0.0,37.222109712419005,37.173356518992804,34.0630603144222,34.0630603144222,34.0630603144222,42.709933591496714,38.73330130886836,34.021245085667665
9/8,18.594701189755288,18.593341538180585,24.481799478143923,18.594701189755288,36.584387410995475,23.000457607124755,29.510552349524016,21.70201885681352,24.246145903897418,24.530438325091687,14.959413871831158,37.222109712419005,0.0,20.705711544837758,18.603997672383628,18.603997672383628,18.603997672383628,21.41791435227951,14.821969685768602,16.46878755693057
12/8,17.850828662621215,17.94303323255838,22.957099465957935,17.850828662621215,36.915252557914904,9.637393043132661,24.828645223407875,20.060721408527883,14.2321979164725,25.55795116789392,12.524315356422848,37.173356518992804,20.705711544837758,0.0,17.931504801074638,17.931504801074638,17.931504801074638,21.599640050393543,17.619181300923326,12.51282266534468
c2,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,35.14326771784524,18.50200164121698,25.347988238011173,19.934063089033614,17.274858561808653,18.457004285366466,16.443057672920688,34.0630603144222,18.603997672383628,17.931504801074638,0.0,0.0,0.0,16.738726381615233,18.63718150838853,16.688555934928594
c4,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,35.14326771784524,18.50200164121698,25.347988238011173,19.934063089033614,17.274858561808653,18.457004285366466,16.443057672920688,34.0630603144222,18.603997672383628,17.931504801074638,0.0,0.0,0.0,16.738726381615233,18.63718150838853,16.688555934928594
c8,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,35.14326771784524,18.50200164121698,25.347988238011173,19.934063089033614,17.274858561808653,18.457004285366466,16.443057672920688,34.0630603144222,18.603997672383628,17.931504801074638,0.0,0.0,0.0,16.738726381615233,18.63718150838853,16.688555934928594
c3,16.713855198491018,16.71166713629612,29.270809188141307,16.713855198491018,38.96976251498342,22.508173060087884,28.49227524949842,23.985603366378804,22.610055528103516,23.64756809627998,18.784284473758003,42.709933591496714,21.41791435227951,21.599640050393543,16.738726381615233,16.738726381615233,16.738726381615233,0.0,20.42035224833365,20.48020777421953
c6,18.578506662781944,18.617480552722668,24.51779475602692,18.578506662781944,34.30162867422132,19.426713822445752,27.72584539043654,21.495676523734478,21.433103355061352,21.96947311156521,10.528083137635672,38.73330130886836,14.821969685768602,17.619181300923326,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,0.0,14.4253452291444
c12,16.589661368415243,16.69390255421013,16.949559310352193,16.589661368415243,34.384636601189634,13.447276588709425,25.077354427586794,17.09199415971986,17.744975132146173,21.699889331682517,5.8070384362021255,34.021245085667665,16.46878755693057,12.51282266534468,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,14.4253452291444,0.0
