Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16
2/2,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,1.014468479783025,1.014468479783025,1.4114315069764412,0.7487936309057044,1.7211618158789828,1.7201513242621425,1.9753537005003214,0.8680149559175657,2.219355407888365,2.216275029798686,2.1084477335637737,2.6106080129481497,1.899913016838256
2/4,0.5713625498910355,0.0,0.3278551527953735,0.5713625498910355,0.35062914006168744,0.8422062190824534,0.3566170839176929,0.8750964606892008,1.6136071788100435,0.5687515443763678,0.743087832623007,0.5701151230850959,0.8137409931192062,1.1269124438945834,0.5257394130651457,0.5257394130651457,1.1237824769498568,0.562734398147889,1.4988585125331737,1.4977175486956547,1.7907311473598866,1.3073913125452439,2.0591218031826304,2.049263002527252,2.063015472803755,2.4805172822571238,2.389408304187205
3/4,0.7808585109320324,0.3278551527953735,0.0,0.7808585109320324,0.3482017305426329,0.6390281719327301,0.3567185381349066,0.6385119693339508,1.4887604469537363,0.5729916088717013,0.5673312421773511,0.5775099745284954,0.7042037034979899,0.9246458469814107,0.5411042389377494,0.5411042389377494,1.028385285736177,0.5786121950695781,1.4854682163536783,1.3514111467723808,1.7740063657828178,1.523699348862208,1.999216284604241,2.0240147447223555,1.8159956655955014,2.45560775851362,2.5103014036328375
4/4,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,1.014468479783025,1.014468479783025,1.4114315069764412,0.7487936309057044,1.7211618158789828,1.7201513242621425,1.9753537005003214,0.8680149559175657,2.219355407888365,2.216275029798686,2.1084477335637737,2.6106080129481497,1.899913016838256
5/4,0.7908579820928363,0.35062914006168744,0.3482017305426329,0.7908579820928363,0.0,0.8642078005216504,0.37732880591959905,0.8504890852576493,1.648587715676394,0.5215003231176772,0.7369892075803461,0.5852483043836048,0.8005386696379058,1.1377645916950603,0.5524848344170975,0.5524848344170975,1.117635180980993,0.5923524086130485,1.381338681428677,1.4810200781242244,1.7735984311795583,1.531677149240665,2.028571582361388,1.8647816471204732,2.036453378951739,2.454988291509999,2.5107825770162453
6/4,0.9793272886944041,0.8422062190824534,0.6390281719327301,0.9793272886944041,0.8642078005216504,0.0,0.8666512467689604,0.39968556162363067,0.9178152456875875,1.081466844281392,0.7358317833287117,1.0813346887088815,0.9382226669709148,0.47861793700640326,1.0807258406403695,1.0807258406403695,1.157299196068388,0.8892996439540389,1.7050577036201262,1.2409496463860505,1.938486364329788,1.5172427005348845,2.036066173284747,2.1607708834276753,1.2689462382606684,2.539416366753282,2.501920189995918
7/4,0.793012258147808,0.3566170839176929,0.3567185381349066,0.793012258147808,0.37732880591959905,0.8666512467689604,0.0,0.8639303179444312,1.6509357310260633,0.5878618572430745,0.7422473701266755,0.5527134941520594,0.8120146588472341,1.139675432255324,0.5578057911536867,0.5578057911536867,1.12166555373385,0.598032738894366,1.4894889526311985,1.4847925276607816,1.6763729097992153,1.5294049088206862,2.0393303168261787,2.0297044341758186,2.0385146390922295,2.311287290320047,2.5136618793630965
9/4,1.073629668142576,0.8750964606892008,0.6385119693339508,1.073629668142576,0.8504890852576493,0.39968556162363067,0.8639303179444312,0.0,1.1537106893286961,1.0683015934019662,0.7379838133712118,1.07701095509979,0.8849017564446927,0.6374291137888402,1.0724052774225061,1.0724052774225061,1.1563668290545643,0.889204868285702,1.686094786735465,1.2474692114694004,1.9402180835998684,1.654000426290441,1.9156729847168208,2.135968490493016,1.2957208616227913,2.5468300459606907,2.5904831325697923
12/4,1.5239735416949591,1.6136071788100435,1.4887604469537363,1.5239735416949591,1.648587715676394,0.9178152456875875,1.6509357310260633,1.1537106893286961,0.0,1.8130633808584724,1.456312003638819,1.808727075577081,1.6052474740371598,0.8969738840542739,1.8306739106385947,1.8306739106385947,1.7175211749023243,1.65097119916055,2.180692276042456,1.6199807587834578,2.334733447838011,1.7661364680496185,2.33444036361741,2.504581372238008,1.2157884911367243,2.788721978566739,2.4798780780190106
5/8,1.0340631848071955,0.5687515443763678,0.5729916088717013,1.0340631848071955,0.5215003231176772,1.081466844281392,0.5878618572430745,1.0683015934019662,1.8130633808584724,0.0,0.6463896757764869,0.3003589447482924,0.6459772190644764,1.207479404625368,0.22108807311395806,0.22108807311395806,1.0067963551570571,1.0234641364243533,1.2736566902517494,1.404077573822081,1.7155870558039714,1.743569536129644,1.9884460370672465,1.7638117015274766,2.2131261168934677,2.418416944954962,2.6475112579441253
6/8,1.1076367221212904,0.743087832623007,0.5673312421773511,1.1076367221212904,0.7369892075803461,0.7358317833287117,0.7422473701266755,0.7379838133712118,1.456312003638819,0.6463896757764869,0.0,0.65546483381469,0.30453983461398626,0.6696423389076898,0.6299130617273755,0.6299130617273755,0.741121913254345,1.07416059618284,1.500337905473565,0.8346376729965916,1.7935859473735836,1.7676827799324082,1.8594773970906338,2.020848874410272,1.7147604564809344,2.4636388723151037,2.65926061466424
7/8,1.0353574208397751,0.5701151230850959,0.5775099745284954,1.0353574208397751,0.5852483043836048,1.0813346887088815,0.5527134941520594,1.07701095509979,1.808727075577081,0.3003589447482924,0.65546483381469,0.0,0.6501652454645972,1.2080245851389662,0.23035179007344966,0.23035179007344966,1.0135284268228382,1.0222816614244599,1.405742525135592,1.411497463796868,1.591041586513546,1.7438928972480268,1.9856514733077397,1.968552940776381,2.219465800378109,2.236997900196411,2.6500924783640936
9/8,1.1797742588723776,0.8137409931192062,0.7042037034979899,1.1797742588723776,0.8005386696379058,0.9382226669709148,0.8120146588472341,0.8849017564446927,1.6052474740371598,0.6459772190644764,0.30453983461398626,0.6501652454645972,0.0,0.8556871997650715,0.6284309028163497,0.6284309028163497,0.7514283766781108,1.1769529636693625,1.5007020652612,0.8546469303976725,1.7875936518829028,1.8318304049988523,1.7159631216104327,2.024607499638621,1.904017427748976,2.456437718686561,2.6970293575017985
12/8,1.2802040909958925,1.1269124438945834,0.9246458469814107,1.2802040909958925,1.1377645916950603,0.47861793700640326,1.139675432255324,0.6374291137888402,0.8969738840542739,1.207479404625368,0.6696423389076898,1.2080245851389662,0.8556871997650715,0.0,1.211834996535368,1.211834996535368,1.046095754705806,1.285580021628669,1.7768699801820629,0.8692052601843283,2.00175743592831,1.7614289935506746,1.9648278932074974,2.2067530170524057,1.159714159305838,2.5791612533491732,2.6502200274720393
