,4n,4nt,8n,8nt,16n,16nt,32n,32nt
4n,0.0,0.2618196767003348,0.3767331145256072,0.8627224783181736,0.8985063250442139,1.315525972557026,1.5467525222681004,2.0000053272735347
4nt,0.2618196767003348,0.0,0.5603981210188885,0.6987292795876799,1.0297789164824962,1.207093566364835,1.6348727943574883,1.9338662223172252
8n,0.3767331145256072,0.5603981210188885,0.0,0.9492765823799011,0.5710294295005117,1.2730647767865135,1.2961126436365826,1.8843123909547326
8nt,0.8627224783181736,0.6987292795876799,0.9492765823799011,0.0,1.2495476045827862,0.6606247993693163,1.7593931969615637,1.5208483017735037
16n,0.8985063250442139,1.0297789164824962,0.5710294295005117,1.2495476045827862,0.0,1.400982428789478,0.8042078684734679,1.8080242648190241
16nt,1.315525972557026,1.207093566364835,1.2730647767865135,0.6606247993693163,1.400982428789478,0.0,1.8034611134506071,0.9357670187932721
32n,1.5467525222681004,1.6348727943574883,1.2961126436365826,1.7593931969615637,0.8042078684734679,1.8034611134506071,0.0,1.9671676911037328
32nt,2.0000053272735347,1.9338662223172252,1.8843123909547326,1.5208483017735037,1.8080242648190241,0.9357670187932721,1.9671676911037328,0.0
