,bc8,bc2,bc4,6/8,6/4,bc12,bc3,5/8,5/4,2/4,2/2,4/4,12/8,12/4,bc6,7/8,7/4,3/4,9/8,9/4
bc8,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc2,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc4,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.120437965037727,17.123362155032957,18.50991098593475,18.62092275039319,18.621048625853284,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
6/8,16.195369411495964,16.195369411495964,16.195369411495964,0.0,0.17943368156025197,18.58334321193376,22.21734997911581,14.2818757524909,14.325733683390066,6.395661325812598,6.419258952444759,9.19434166453007,9.491653631953305,9.491788546242045,21.652624268643613,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
6/4,16.19716226031538,16.19716226031538,16.19716226031538,0.17943368156025197,0.0,18.584736198690763,22.20525228487399,14.283062507618181,14.322829817394481,6.37917566937267,6.403063821310861,9.193280570097627,9.493489174884724,9.492716152776456,21.694504179682507,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
bc12,16.688555934928594,16.688555934928594,16.688555934928594,18.58334321193376,18.584736198690763,0.0,20.48020777421953,19.512739497327257,19.560502042850658,17.256390552873274,17.264174578147514,21.636796941696215,21.776065712195408,21.776159451283764,14.4253452291444,49.44547109283083,126.93418584574793,134.40966562758052,234.5808877620559,234.62942275674976
bc3,16.738726381615233,16.738726381615233,16.738726381615233,22.21734997911581,22.20525228487399,20.48020777421953,0.0,22.782584547499148,22.671172674632285,22.317309544352703,22.119667093676142,24.134349509777714,24.272645480310093,24.269092234890422,20.42035224833365,42.893574878765655,137.96887803756155,139.59752598688416,242.87864739541283,242.92453373243399
5/8,16.864219397332974,16.864219397332974,16.864219397332974,14.2818757524909,14.283062507618181,19.512739497327257,22.782584547499148,0.0,1.362698728389227,13.968639800234874,13.974978003832206,16.3932076874623,16.929030506389626,16.929064516170087,22.667047751495293,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
5/4,16.881116206100554,16.881116206100554,16.881116206100554,14.325733683390066,14.322829817394481,19.560502042850658,22.671172674632285,1.362698728389227,0.0,13.957798367904088,13.963206745795393,16.408369836920212,16.953235336762962,16.951955392066036,22.50966766251088,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
2/4,17.120437965037727,17.120437965037727,17.120437965037727,6.395661325812598,6.37917566937267,17.256390552873274,22.317309544352703,13.968639800234874,13.957798367904088,0.0,0.9816719338482303,9.891206149307884,10.693907149679662,10.691070494057708,20.89021265567216,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
2/2,17.123362155032957,17.123362155032957,17.123362155032957,6.419258952444759,6.403063821310861,17.264174578147514,22.119667093676142,13.974978003832206,13.963206745795393,0.9816719338482303,0.0,9.902279314226272,10.702283182497291,10.69945424775465,20.89788595635358,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
4/4,18.50991098593475,18.50991098593475,18.50991098593475,9.19434166453007,9.193280570097627,21.636796941696215,24.134349509777714,16.3932076874623,16.408369836920212,9.891206149307884,9.902279314226272,0.0,1.6491036802046521,1.644681145092648,24.351780370268603,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
12/8,18.62092275039319,18.62092275039319,18.62092275039319,9.491653631953305,9.493489174884724,21.776065712195408,24.272645480310093,16.929030506389626,16.953235336762962,10.693907149679662,10.702283182497291,1.6491036802046521,0.0,0.05704803180007531,24.44070174984753,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
12/4,18.621048625853284,18.621048625853284,18.621048625853284,9.491788546242045,9.492716152776456,21.776159451283764,24.269092234890422,16.929064516170087,16.951955392066036,10.691070494057708,10.69945424775465,1.644681145092648,0.05704803180007531,0.0,24.45239418941821,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
bc6,18.63718150838853,18.63718150838853,18.63718150838853,21.652624268643613,21.694504179682507,14.4253452291444,20.42035224833365,22.667047751495293,22.50966766251088,20.89021265567216,20.89788595635358,24.351780370268603,24.44070174984753,24.45239418941821,0.0,47.6891446628029,131.17535083786416,135.56112900338223,236.23976741871383,236.29181220637517
7/8,36.843581564989265,36.843581564989265,36.843581564989265,41.04660370845179,41.04724958411214,49.44547109283083,42.893574878765655,43.29333165881707,43.277221216616695,44.94977756595464,44.93588516262642,43.719101754407966,43.43237654081257,43.432413144223695,47.6891446628029,0.0,131.26742831308334,142.14209288935757,244.69621999891916,244.74311574290644
7/4,127.92368783359522,127.92368783359522,127.92368783359522,128.02491843251704,128.01029777118785,126.93418584574793,137.96887803756155,128.77133175109674,128.81948835135762,128.3969426692691,128.55048724370604,129.33078444750072,129.23226812324705,129.22915309745662,131.17535083786416,131.26742831308334,0.0,135.30491272188618,177.03802186055907,177.10177123239885
3/4,136.31348574006878,136.31348574006878,136.31348574006878,134.9867942996034,134.93206012232474,134.40966562758052,139.59752598688416,135.83287480714105,135.80295575940647,135.2661459419567,135.41324668817214,135.98459944697788,135.99697821952037,135.9790815893919,135.56112900338223,142.14209288935757,135.30491272188618,0.0,116.39711839650614,116.42582987041483
9/8,238.09116357916272,238.09116357916272,238.09116357916272,237.28915997467846,237.23904295878887,234.5808877620559,242.87864739541283,237.740025579624,237.69079095668545,236.93117045556505,237.10153083377,238.21245862508997,238.2527748931739,238.23727815693536,236.23976741871383,244.69621999891916,177.03802186055907,116.39711839650614,0.0,0.2001756656984068
9/4,238.13908922807133,238.13908922807133,238.13908922807133,237.33709295897398,237.2868941137295,234.62942275674976,242.92453373243399,237.78793470475412,237.7385711565837,236.97890316381574,237.1492343267748,238.25991108778035,238.30034656753298,238.28482236007662,236.29181220637517,244.74311574290644,177.10177123239885,116.42582987041483,0.2001756656984068,0.0
