,7/8,7/4,mc7,9/4,5/4,9/8,6/4,12/4,mc12,5/8,12/8,6/8,3/4,mc9,mc8,4/4,2/2,mc6,2/4,mc5,mc4,mc3,mc2
mc9,20.75349094324468,19.73567963405563,23.664319132398465,10.52997496911535,20.91515051842962,10.976287895672767,21.169416084432868,22.70325975727764,18.708286933869708,22.243939126410382,23.38587582348263,22.228117927933784,18.863602306564708,0.0,22.9128784747792,25.76577184739933,25.76577184739933,20.493901531919196,26.95105796038624,25.92296279363144,27.748873851023216,23.664319132398465,35.4964786985977
mc8,20.830137223271425,19.65309252030103,24.186773244895647,20.84143350233301,20.5374556891494,21.730312065442106,19.189025898925898,17.17327007544309,17.74823934929885,22.078346308540485,17.74411824156036,20.529163627878088,22.752572286845634,22.9128784747792,0.0,18.064670108169057,18.064670108169057,22.9128784747792,19.12167827076478,26.324893162176366,17.74823934929885,30.740852297878796,30.740852297878796
4/4,21.46826011459733,21.126536338935267,26.093117645105576,19.98187734320453,20.0761211292932,20.256166105877966,10.353393821168684,5.160388578965741,21.507275069144484,20.61266753713839,4.687107787650878,10.310541562590961,18.88114988408391,25.76577184739933,18.064670108169057,0.0,0.0,21.97276672180963,1.8435488673206095,26.67221793607858,13.370458921018807,27.97687483862031,15.475398582663823
2/2,21.46826011459733,21.126536338935267,26.093117645105576,19.98187734320453,20.0761211292932,20.256166105877966,10.353393821168684,5.160388578965741,21.507275069144484,20.61266753713839,4.687107787650878,10.310541562590961,18.88114988408391,25.76577184739933,18.064670108169057,0.0,0.0,21.97276672180963,1.8435488673206095,26.67221793607858,13.370458921018807,27.97687483862031,15.475398582663823
mc6,22.24436172208018,21.507212299549547,25.69046515733026,15.185274801765173,22.087904136170966,15.444209218650991,12.917888763141859,18.27149803230125,14.491376746189438,23.095222269284594,18.73008404478359,13.457851417599567,11.543337910270731,20.493901531919196,22.9128784747792,21.97276672180963,21.97276672180963,0.0,22.920623619492535,27.49545416973504,25.099800796022265,20.493901531919196,28.982753492378876
2/4,22.639796644912682,22.36938103046971,27.192327087081047,21.102920812886534,21.202556572887715,21.313596804954397,11.228266461381969,6.3045080092247545,22.73540613010013,21.63806623888902,5.630034663905703,11.00365162810339,19.71931874015798,26.95105796038624,19.12167827076478,1.8435488673206095,1.8435488673206095,22.920623619492535,0.0,27.621301226026034,13.762954476438104,28.59722741405223,14.655640604833392
mc5,23.965776224482774,23.292650640825517,26.832815729997478,23.396319374142724,9.751701647701985,23.95120936451877,24.60390859957022,24.723891915356436,25.099800796022265,8.846525447416168,25.237880918156065,25.4216180875216,25.48202146733009,25.92296279363144,26.324893162176366,26.67221793607858,26.67221793607858,27.49545416973504,27.621301226026034,0.0,29.698484809834994,31.74901573277509,35.4964786985977
mc4,24.832350911413993,23.96464468079562,28.460498941515414,24.263759074330288,23.80921883104286,24.89056299524408,18.452711477167362,13.156076620070605,20.493901531919196,25.00522192589559,13.16566875692523,18.759208097533556,24.028753859048933,27.748873851023216,17.74823934929885,13.370458921018807,13.370458921018807,25.099800796022265,13.762954476438104,29.698484809834994,0.0,32.4037034920393,25.099800796022265
mc3,28.10400319541597,27.787107779719644,30.983866769659336,15.708281143665182,27.548866067037522,14.933256131143402,22.20639799703207,25.544050069011647,25.099800796022265,28.019408056301927,25.785575437242628,22.367324822310767,12.31057745622331,23.664319132398465,30.740852297878796,27.97687483862031,27.97687483862031,20.493901531919196,28.59722741405223,31.74901573277509,32.4037034920393,0.0,35.4964786985977
mc2,31.33923614069389,31.485119494790034,35.4964786985977,30.302856145887514,30.17011742336955,30.235863700870926,18.757410620094124,17.79284465202101,32.4037034920393,30.0146067648767,17.172555090635655,17.79694046739368,28.17961344738517,35.4964786985977,30.740852297878796,15.475398582663823,15.475398582663823,28.982753492378876,14.655640604833392,35.4964786985977,25.099800796022265,35.4964786985977,0.0
