,bc48,4/4,12/8,12/4,2/4,2/2,bc24,7/8,6/8,7/4,5/8,6/4,3/4,5/4,9/8,9/4,bc16,bc12,bc8,bc4
bc48,0.0,2.005203865806882,2.240553651730541,2.326437020349018,3.124875788950948,3.192495031148593,3.2154427884937453,3.2824858270922634,3.3764469985028507,3.3808750715595597,3.4024183075322756,3.4538366349559375,3.479796372737125,3.4838280361399963,3.6790714291506967,3.7323241338536004,3.9080336836735783,4.033425013636654,4.390071442781687,4.612236688714845
4/4,2.005203865806882,0.0,0.6187517215161547,0.6829481557905569,1.376170140986057,1.448399438922543,1.6630793697467048,1.5954888209609237,1.7887284402383967,1.6503126196316635,1.6705079074160372,1.861380378003388,1.7291506650831574,1.7144235294141053,2.050991344030468,2.099986505736156,2.9961064828815767,2.3683950990811624,2.9525040423525586,3.1166874275784666
12/8,2.240553651730541,0.6187517215161547,0.0,0.14109167208201076,1.3239161490664344,1.3577253727234893,1.6401505283209732,1.5766483519725802,1.342886389209015,1.5825590523675428,1.6559501711707858,1.4260218443708879,1.6551982957831548,1.6524538130619393,1.6431883961402762,1.6956431051852519,2.5647916133063053,2.32709733203253,2.4395604317236406,2.712765879466653
12/4,2.326437020349018,0.6829481557905569,0.14109167208201076,0.0,1.248558337712245,1.2716527543305935,1.640926511653269,1.5355479853383478,1.245882563014849,1.5117997916700285,1.6135131385962993,1.3173445917394495,1.5835575452267647,1.5818212388985289,1.5527598984792792,1.5938571688858252,2.5031443533988305,2.250825872611015,2.344733997370035,2.600582551723907
2/4,3.124875788950948,1.376170140986057,1.3239161490664344,1.248558337712245,0.0,0.15563800795701202,1.3324842042283935,0.8363362259904386,1.046857796430589,0.6682506181132923,0.8176875022562582,1.0691295218226076,0.6668799675683812,0.6474558519509955,1.2171599950985257,1.2264637718362361,2.769319084763189,1.2686558685193914,2.208662028879656,2.2071441381463903
2/2,3.192495031148593,1.448399438922543,1.3577253727234893,1.2716527543305935,0.15563800795701202,0.0,1.4123555888945691,0.889053397069041,0.9786986459206967,0.6746283489097172,0.8724595395984809,0.9834575355577644,0.6694558422690295,0.6551968666372089,1.1492836030637121,1.1428908660453205,2.7102129131077257,1.2304973952373277,2.1178565658355466,2.089241237809631
bc24,3.2154427884937453,1.6630793697467048,1.6401505283209732,1.640926511653269,1.3324842042283935,1.4123555888945691,0.0,1.2724271107618381,1.6465354292462844,1.4121228693893944,1.1936505969855735,1.7423604434712905,1.3802397243162583,1.3496760814061413,1.6948335458725576,1.7881970880719382,3.4112114616897675,2.3492613507468145,2.76339711883103,3.104249287084341
7/8,3.2824858270922634,1.5954888209609237,1.5766483519725802,1.5355479853383478,0.8363362259904386,0.889053397069041,1.2724271107618381,0.0,1.3960406610940372,0.4298833510835549,0.744646599778403,1.448074728790257,0.9004952716554432,0.8221295180224946,1.4342307532456644,1.4844679857631502,3.115881793998887,1.4665764615925918,2.463117746962628,2.512488401223459
6/8,3.3764469985028507,1.7887284402383967,1.342886389209015,1.245882563014849,1.046857796430589,0.9786986459206967,1.6465354292462844,1.3960406610940372,0.0,1.225053384060648,1.4020062723515732,0.17885668969107618,1.2164373474380388,1.2310758329750044,0.5635773841260777,0.574064342815305,2.1707095110862107,1.759672949936043,1.3109829769880035,1.639656837068747
7/4,3.3808750715595597,1.6503126196316635,1.5825590523675428,1.5117997916700285,0.6682506181132923,0.6746283489097172,1.4121228693893944,0.4298833510835549,1.225053384060648,0.0,0.8219748526678075,1.2371016162813258,0.74226460512984,0.6607983169511722,1.2631699825700682,1.2732070510642894,2.959211565471458,1.3521394837980825,2.2526717420512137,2.2511478991248537
5/8,3.4024183075322756,1.6705079074160372,1.6559501711707858,1.6135131385962993,0.8176875022562582,0.8724595395984809,1.1936505969855735,0.744646599778403,1.4020062723515732,0.8219748526678075,0.0,1.4533740142540938,0.846177131156552,0.4296186390370476,1.4210362811335675,1.4725780115743772,3.1366553768516274,1.4187432839262148,2.462810187313962,2.51202300263175
6/4,3.4538366349559375,1.861380378003388,1.4260218443708879,1.3173445917394495,1.0691295218226076,0.9834575355577644,1.7423604434712905,1.448074728790257,0.17885668969107618,1.2371016162813258,1.4533740142540938,0.0,1.226996520213322,1.2426393679204255,0.571912250168379,0.5240224645416621,2.1556899878715083,1.732751831216743,1.2585831744204157,1.532713086343538
3/4,3.479796372737125,1.7291506650831574,1.6551982957831548,1.5835575452267647,0.6668799675683812,0.6694558422690295,1.3802397243162583,0.9004952716554432,1.2164373474380388,0.74226460512984,0.846177131156552,1.226996520213322,0.0,0.6833686713587299,1.0613030634166942,1.0861603474989177,2.976207409949874,1.3153884198088388,2.228734715968673,2.2274000675525847
