,bc48,4/4,12/8,12/4,2/4,2/2,bc24,6/8,6/4,7/8,5/8,7/4,5/4,3/4,9/8,9/4,bc16,bc12,bc8,bc4
bc48,0.0,2.0477426731434116,2.2744520574830895,2.35783365497291,3.180115056788845,3.243748810012302,3.4112114616897675,3.4169339393891924,3.490917497808653,3.517757876663352,3.5740680231448256,3.5862274399706635,3.635148855770397,3.6640407415378364,3.8066962392524326,3.8495383569702226,3.9080336836735783,4.161638968079073,4.390071442781686,4.6122366887148445
4/4,2.0477426731434116,0.0,0.6389069767804659,0.7008191036502152,1.4391207608714438,1.5053933377983226,1.8517563285165626,1.8362830196836826,1.9043676486124754,1.8675674202835844,1.8698820567618504,1.8874821357783789,1.8894615156908252,1.9400622495499895,2.1898337409543522,2.22672636034257,2.9967386545045387,2.4912737073317555,2.9525805869692636,3.1166874275784666
12/8,2.2744520574830895,0.6389069767804659,0.0,0.14228553771727204,1.3954610960104632,1.4240770226395114,1.817459217087739,1.3840898833098982,1.4626241253415206,1.8323325406960953,1.8344233449862666,1.8128754645913847,1.8147095446997525,1.8584854623428386,1.7867521571984877,1.8258365945167263,2.564797658947839,2.4433736069101064,2.4395604317236406,2.712765879466653
12/4,2.35783365497291,0.7008191036502152,0.14228553771727204,0.0,1.3212670724189552,1.339533782027483,1.8111997737485208,1.2884688717178001,1.3549580202668987,1.7869738809221474,1.7890006073456262,1.7422420368806026,1.744063812679016,1.7867851795630358,1.6979774251729558,1.7259297301710825,2.503210715133178,2.36595001438284,2.3447982212527827,2.6005825517239076
2/4,3.180115056788845,1.4391207608714438,1.3954610960104632,1.3212670724189552,0.0,0.15844720369933335,1.3807127042057465,1.079445522332096,1.099481639804267,0.9552730388612038,0.9876091803044088,0.7943838320416364,0.8289172350122375,0.7851477758628974,1.287080354261953,1.2916554019967357,2.7751400644519895,1.3321628661612053,2.2091462564967204,2.2071441381463903
2/2,3.243748810012302,1.5053933377983226,1.4240770226395114,1.339533782027483,0.15844720369933335,0.0,1.4558080382862086,1.0118922134279316,1.0148509859322143,0.9962732512321678,1.0255077244438382,0.7937740245043746,0.8263738498055486,0.7817198372769737,1.2193395416203483,1.2090259801707084,2.7158898796070545,1.2925947087325136,2.1184164821687292,2.0893034932637047
bc24,3.4112114616897675,1.8517563285165626,1.817459217087739,1.8111997737485208,1.3807127042057465,1.4558080382862086,0.0,1.6997301718280973,1.7896627905115732,1.3340918545771965,1.3341131790214578,1.4654881393506707,1.4653208453166364,1.4174528252171907,1.7423531976825697,1.8305350296252467,3.411211461689767,2.383878198287533,2.7633971188310302,3.104249287084341
6/8,3.4169339393891924,1.8362830196836826,1.3840898833098982,1.2884688717178001,1.079445522332096,1.0118922134279316,1.6997301718280973,0.0,0.18135255374755346,1.4685366620095908,1.4848781429353266,1.3002813732968839,1.3167097073577663,1.2872585565934311,0.6352283019294499,0.640543653945031,2.170775674058556,1.8063242723819102,1.3109829769880035,1.6396568370687472
6/4,3.490917497808653,1.9043676486124754,1.4626241253415206,1.3549580202668987,1.099481639804267,1.0148509859322143,1.7896627905115732,0.18135255374755346,0.0,1.5136248336904237,1.5283393048085658,1.3072110072525434,1.3224194612052316,1.2930859423189416,0.6386823016839822,0.5906356489378884,2.1559699630089377,1.7769139460318262,1.2589516977599038,1.5327130863435379
7/8,3.517757876663352,1.8675674202835844,1.8323325406960953,1.7869738809221474,0.9552730388612038,0.9962732512321678,1.3340918545771965,1.4685366620095908,1.5136248336904237,0.0,1.2580760338572454,0.43830894434886936,1.2627344374709848,1.0534046921856668,1.5281930980729352,1.5694078757654704,3.1159137030684323,1.5359393198265974,2.463117746962628,2.5124884012234587
