0, 1. 0.032552 0.067708 0.048177 0.140625 0.03776 0.088542 0.053385 0.203125 0.042969 0.109375 0.058594 0.375 0.035156 0.078125 0.050781 0.171875 0.040365 0.098958 0.05599 0.234375 0.045573 0.119792 0.061198 0.75 0.033854 0.072917 0.049479 0.15625 0.039062 0.09375 0.054688 0.21875 0.044271 0.114583 0.059896 0.5 0.036458 0.083333 0.052083 0.1875 0.041667 0.104167 0.057292 0.25 0.046875 0.125 0.0625 12-8-32n_weights;
1, 1. 0.032552 0.067708 0.048177 0.145833 0.040365 0.098958 0.05599 0.3125 0.035156 0.078125 0.050781 0.1875 0.042969 0.109375 0.058594 0.4375 0.03776 0.088542 0.053385 0.229167 0.045573 0.119792 0.061198 0.75 0.033854 0.072917 0.049479 0.166667 0.041667 0.104167 0.057292 0.375 0.036458 0.083333 0.052083 0.208333 0.044271 0.114583 0.059896 0.5 0.039062 0.09375 0.054688 0.25 0.046875 0.125 0.0625 6-4-32n_weights;
2, 1. 0.032552 0.067708 0.048177 0.145833 0.040365 0.098958 0.05599 0.333333 0.036458 0.083333 0.052083 0.208333 0.044271 0.114583 0.059896 0.666667 0.033854 0.072917 0.049479 0.166667 0.041667 0.104167 0.057292 0.416667 0.03776 0.088542 0.053385 0.229167 0.045573 0.119792 0.061198 0.833333 0.035156 0.078125 0.050781 0.1875 0.042969 0.109375 0.058594 0.5 0.039062 0.09375 0.054688 0.25 0.046875 0.125 0.0625 3-4-64n_weights;
3, 1. 0.032552 0.067708 0.048177 0.145833 0.040365 0.098958 0.05599 0.333333 0.036458 0.083333 0.052083 0.208333 0.044271 0.114583 0.059896 0.666667 0.033854 0.072917 0.049479 0.166667 0.041667 0.104167 0.057292 0.416667 0.03776 0.088542 0.053385 0.229167 0.045573 0.119792 0.061198 0.833333 0.035156 0.078125 0.050781 0.1875 0.042969 0.109375 0.058594 0.5 0.039062 0.09375 0.054688 0.25 0.046875 0.125 0.0625 9-8-64nd_weights;
4, 47 0 24 12 36 4 28 16 40 8 32 20 44 2 26 14 38 6 30 18 42 10 34 22 46 1 25 13 37 5 29 17 41 9 33 21 45 3 27 15 39 7 31 19 43 11 35 23 12-8-32n_indisp;
5, 47 0 24 12 36 6 30 18 42 2 26 14 38 8 32 20 44 4 28 16 40 10 34 22 46 1 25 13 37 7 31 19 43 3 27 15 39 9 33 21 45 5 29 17 41 11 35 23 6-4-32n_indisp;
6, 47 0 24 12 36 6 30 18 42 3 27 15 39 9 33 21 45 1 25 13 37 7 31 19 43 4 28 16 40 10 34 22 46 2 26 14 38 8 32 20 44 5 29 17 41 11 35 23 3-4-64n_indisp;
7, 47 0 24 12 36 6 30 18 42 3 27 15 39 9 33 21 45 1 25 13 37 7 31 19 43 4 28 16 40 10 34 22 46 2 26 14 38 8 32 20 44 5 29 17 41 11 35 23 9-8-64nd_indisp;
