,c8,c4,c2,2/4,2/2,4/4,6/8,c12,c3,12/4,c6,9/8,12/8,9/4,3/4,5/4,7/8,5/8,6/4,7/4
c8,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,18.63718150838853,18.72146844128829,19.049624798505842,23.22380211919291,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
c4,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,18.63718150838853,18.72146844128829,19.049624798505842,23.22380211919291,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
c2,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,18.63718150838853,18.72146844128829,19.049624798505842,23.22380211919291,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
2/4,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.0,0.6843871413472937,0.6843871413472937,16.427084826636968,16.69390255421013,16.71166713629612,17.279784262109146,18.617480552722668,18.71087920861897,19.060476964587757,23.226953296490688,28.523456686478596,66.57169606220324,68.65400061028147,70.24950251718998,96.91181123058229,99.01026284366174
2/2,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,0.0,0.0,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,18.578506662781944,18.71223031977708,18.973703499189217,23.073251396666382,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
4/4,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,0.0,0.0,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,18.578506662781944,18.71223031977708,18.973703499189217,23.073251396666382,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
6/8,16.443057672920688,16.443057672920688,16.443057672920688,16.427084826636968,16.353206557271825,16.353206557271825,0.0,5.8070384362021255,18.784284473758003,17.749168896501704,10.528083137635672,13.781546657620135,9.848711697143274,14.634067190198394,19.138310024481502,63.33983271086332,71.98160790976422,70.91986401896361,95.98675297980469,100.29627274830392
c12,16.688555934928594,16.688555934928594,16.688555934928594,16.69390255421013,16.589661368415243,16.589661368415243,5.8070384362021255,0.0,20.48020777421953,17.744975132146173,14.4253452291444,15.723565185614781,10.620486506175398,13.136584843896314,16.949559310352193,62.43108456975038,71.1445217750998,71.09453373116379,94.84167866343871,101.41844158035813
c3,16.738726381615233,16.738726381615233,16.738726381615233,16.71166713629612,16.713855198491018,16.713855198491018,18.784284473758003,20.48020777421953,0.0,22.610055528103516,20.42035224833365,20.887286071680467,22.05929410361088,25.53235502898003,29.270809188141307,66.08960573738835,63.19047764538673,73.7474672499092,105.70450520065631,91.7618155087537
12/4,17.274858561808653,17.274858561808653,17.274858561808653,17.279784262109146,17.298453082751973,17.298453082751973,17.749168896501704,17.744975132146173,22.610055528103516,0.0,21.433103355061352,23.97073776295571,19.65724461729065,23.16025617402624,27.24092276646472,66.46745684851636,71.40740173773544,71.75552553342835,95.59612015217786,100.7357551333643
c6,18.63718150838853,18.63718150838853,18.63718150838853,18.617480552722668,18.578506662781944,18.578506662781944,10.528083137635672,14.4253452291444,20.42035224833365,21.433103355061352,0.0,12.560415279763731,14.562565122421637,20.49928878953114,24.51779475602692,63.44915543766829,73.12317974576075,73.22662902051425,96.78010656620876,100.27450467276792
9/8,18.72146844128829,18.72146844128829,18.72146844128829,18.71087920861897,18.71223031977708,18.71223031977708,13.781546657620135,15.723565185614781,20.887286071680467,23.97073776295571,12.560415279763731,0.0,18.041858689039085,25.12976932804655,23.819892269157673,63.19952163891531,71.87584422485757,72.7396298522928,96.7674041621568,99.72744672757608
