,bc24,6/8,6/4,2/4,2/2,5/8,5/4,bc48,9/8,9/4,4/4,3/4,7/8,7/4,bc8,bc4,bc16,12/8,12/4,bc12
bc24,0.0,10.085427743490046,10.087619562709659,11.085931087833938,11.099532927789499,13.631479482247123,13.716682743175546,14.169854075983336,15.395953383634682,15.397169582986056,16.037747696780855,16.4936823061671,18.147832134744633,18.208466656667337,18.343713502168537,18.343713502168537,18.343713502168537,18.992018672544557,18.992163336422283,20.116008064341784
6/8,10.085427743490046,0.0,0.17943368156025197,6.395661325812598,6.419258952444759,14.2818757524909,14.325733683390066,5.805562093086122,14.89091630905358,14.892934539049765,11.28344039508639,16.067330323462215,16.518507312878985,16.59726391809414,16.195369411495964,16.195369411495964,16.195369411495964,14.11464520299275,14.114822531879518,18.58334321193376
6/4,10.087619562709659,0.17943368156025197,0.0,6.37917566937267,6.403063821310861,14.283062507618181,14.322829817394481,5.807854381053894,14.892395850511972,14.892948876552977,11.282811674395193,16.07069673664522,16.5195260249062,16.596165755682783,16.19716226031538,16.19716226031538,16.19716226031538,14.116202942456754,14.115769675035166,18.584736198690763
2/4,11.085931087833938,6.395661325812598,6.37917566937267,0.0,0.9816719338482303,13.968639800234874,13.957798367904088,8.818938113069509,16.138462993094404,16.13632104891534,12.245661643465748,16.78539969070689,16.36306345389738,16.455206817581992,17.120437965037727,17.120437965037727,17.120437965037727,15.783967050026083,15.782122759050464,17.256390552873274
2/2,11.099532927789499,6.419258952444759,6.403063821310861,0.9816719338482303,0.0,13.974978003832206,13.963206745795393,8.833929724963541,16.09718840529633,16.095115735745466,12.262429079719205,16.754782826944428,16.424598790861626,16.52334500958803,17.123362155032957,17.123362155032957,17.123362155032957,15.794776561009764,15.79293725866541,17.264174578147514
5/8,13.631479482247123,14.2818757524909,14.283062507618181,13.968639800234874,13.974978003832206,0.0,1.362698728389227,15.385091474901706,15.621588067027751,15.624532000066752,16.393690096262397,16.23555057577915,17.028098768411212,17.098040149791597,16.864219397332974,16.864219397332974,16.864219397332974,17.41934447086152,17.419447696853094,19.512739497327257
5/4,13.716682743175546,14.325733683390066,14.322829817394481,13.957798367904088,13.963206745795393,1.362698728389227,0.0,15.414451389001199,15.653681702102704,15.654511130121422,16.410347637831,16.147189427096983,17.107936003998883,17.17691797274757,16.881116206100554,16.881116206100554,16.881116206100554,17.443529454602054,17.442355569904706,19.560502042850658
bc48,14.169854075983336,5.805562093086122,5.807854381053894,8.818938113069509,8.833929724963541,15.385091474901706,15.414451389001199,0.0,17.1622779606266,17.164443918819554,11.458413310093674,17.98096315247232,18.092618027234728,18.16561501348286,16.474650862156608,16.474650862156608,16.474650862156608,13.744845296927448,13.745023741903918,20.352271610516084
9/8,15.395953383634682,14.89091630905358,14.892395850511972,16.138462993094404,16.09718840529633,15.621588067027751,15.653681702102704,17.1622779606266,0.0,0.200175665698408,18.42366258351994,9.578912003015876,17.141362254184585,17.266593381186848,17.072239322332894,17.072239322332894,17.072239322332894,20.787125834213324,20.787260867929742,19.152938618528136
9/4,15.397169582986056,14.892934539049765,14.892948876552977,16.13632104891534,16.095115735745466,15.624532000066752,15.654511130121422,17.164443918819554,0.200175665698408,0.0,18.42306882095588,9.580027917893737,17.142742529157847,17.267564185501048,17.07614878442352,17.07614878442352,17.07614878442352,20.79267975673984,20.792464477536758,19.155104687511
