,bc3,bc6,bc2,bc4,9/4,6/4,6/8,2/2,9/8,bc12,bc8,2/4,3/4,5/4,7/4,5/8,7/8,12/4,12/8,4/4
bc3,0.0,0.9851504736828418,0.9985283792228454,1.4090291046251149,1.7749877092324229,1.7774369520469,1.9254630913243416,1.9258406953439375,1.9274885101417978,1.968507919044107,1.9880347076139728,2.072381772700077,2.090966148158034,2.101990718297503,2.108456502749894,2.466199593525299,2.4730699010436936,2.6473890335114487,2.7753450855522086,3.025726361739568
bc6,0.9851504736828418,0.0,1.4059673488550548,1.7253243712550144,1.822974179061345,1.819734674092023,1.9492082580912944,1.7016270321773594,1.956329062020371,1.6916300351260647,2.2160701277379324,1.8038457288784004,1.8257896071944661,1.8281577289109308,1.8432162467346187,2.2330410736822994,2.2477659856916006,2.562463702949911,2.6829871251947868,2.828244834396339
bc2,0.9985283792228454,1.4059673488550548,0.0,1.0,1.7454879545305588,1.7528143276457988,1.9205401696778663,2.20054413883077,1.9184316550373064,2.225643361388572,1.7320508075688772,2.3319767473712547,2.3496071430748593,2.368890339179246,2.3690445921301735,2.703749168423549,2.7041815705093497,2.7559993450421447,2.891210597102619,3.2385212044073435
bc4,1.4090291046251149,1.7253243712550144,1.0,0.0,1.527241141744452,1.532713086343538,1.639656837068747,2.089241237809631,1.6371866158288673,1.9883380930045633,1.4142135623730951,2.2071441381463903,2.2274000675525847,2.250893514376732,2.2511478991248537,2.51202300263175,2.512488401223459,2.600582551723907,2.712765879466653,3.1166874275784666
9/4,1.7749877092324229,1.822974179061345,1.7454879545305588,1.527241141744452,0.0,0.5240224645416621,0.574064342815305,1.1428908660453205,0.1844958216072874,1.7514942771371529,1.2625090333386704,1.2264637718362361,1.0861603474989177,1.2609316794164562,1.2732070510642894,1.4725780115743772,1.4844679857631502,1.5938571688858252,1.6956431051852519,2.099986505736156
6/4,1.7774369520469,1.819734674092023,1.7528143276457988,1.532713086343538,0.5240224645416621,0.0,0.17885668969107618,0.9834575355577644,0.571912250168379,1.732751831216743,1.2585831744204157,1.0691295218226076,1.226996520213322,1.2426393679204255,1.2371016162813258,1.4533740142540938,1.448074728790257,1.3173445917394495,1.4260218443708879,1.861380378003388
6/8,1.9254630913243416,1.9492082580912944,1.9205401696778663,1.639656837068747,0.574064342815305,0.17885668969107618,0.0,0.9786986459206967,0.5635773841260777,1.759672949936043,1.3109829769880035,1.046857796430589,1.2164373474380388,1.2310758329750044,1.225053384060648,1.4020062723515732,1.3960406610940372,1.245882563014849,1.342886389209015,1.7887284402383967
2/2,1.9258406953439375,1.7016270321773594,2.20054413883077,2.089241237809631,1.1428908660453205,0.9834575355577644,0.9786986459206967,0.0,1.1492836030637121,1.2304973952373277,2.1178565658355466,0.15563800795701202,0.6694558422690295,0.6551968666372089,0.6746283489097172,0.8724595395984809,0.889053397069041,1.2716527543305935,1.3577253727234893,1.448399438922543
9/8,1.9274885101417978,1.956329062020371,1.9184316550373064,1.6371866158288673,0.1844958216072874,0.571912250168379,0.5635773841260777,1.1492836030637121,0.0,1.779958740071336,1.3161587636900292,1.2171599950985257,1.0613030634166942,1.2498546646895923,1.2631699825700682,1.4210362811335675,1.4342307532456644,1.5527598984792792,1.6431883961402762,2.050991344030468
bc12,1.968507919044107,1.6916300351260647,2.225643361388572,1.9883380930045633,1.7514942771371529,1.732751831216743,1.759672949936043,1.2304973952373277,1.779958740071336,0.0,2.4208397543577864,1.2686558685193914,1.3153884198088388,1.306101922949829,1.3521394837980825,1.4187432839262148,1.4665764615925918,2.250825872611015,2.32709733203253,2.3683950990811624
bc8,1.9880347076139728,2.2160701277379324,1.7320508075688772,1.4142135623730951,1.2625090333386704,1.2585831744204157,1.3109829769880035,2.1178565658355466,1.3161587636900292,2.4208397543577864,0.0,2.208662028879656,2.228734715968673,2.2525570492566733,2.2526717420512137,2.462810187313962,2.463117746962628,2.344733997370035,2.4395604317236406,2.9525040423525586
2/4,2.072381772700077,1.8038457288784004,2.3319767473712547,2.2071441381463903,1.2264637718362361,1.0691295218226076,1.046857796430589,0.15563800795701202,1.2171599950985257,1.2686558685193914,2.208662028879656,0.0,0.6668799675683812,0.6474558519509955,0.6682506181132923,0.8176875022562582,0.8363362259904386,1.248558337712245,1.3239161490664344,1.376170140986057
3/4,2.090966148158034,1.8257896071944661,2.3496071430748593,2.2274000675525847,1.0861603474989177,1.226996520213322,1.2164373474380388,0.6694558422690295,1.0613030634166942,1.3153884198088388,2.228734715968673,0.6668799675683812,0.0,0.6833686713587299,0.74226460512984,0.846177131156552,0.9004952716554432,1.5835575452267647,1.6551982957831548,1.7291506650831574
5/4,2.101990718297503,1.8281577289109308,2.368890339179246,2.250893514376732,1.2609316794164562,1.2426393679204255,1.2310758329750044,0.6551968666372089,1.2498546646895923,1.306101922949829,2.2525570492566733,0.6474558519509955,0.6833686713587299,0.0,0.6607983169511722,0.4296186390370476,0.8221295180224946,1.5818212388985289,1.6524538130619393,1.7144235294141053
7/4,2.108456502749894,1.8432162467346187,2.3690445921301735,2.2511478991248537,1.2732070510642894,1.2371016162813258,1.225053384060648,0.6746283489097172,1.2631699825700682,1.3521394837980825,2.2526717420512137,0.6682506181132923,0.74226460512984,0.6607983169511722,0.0,0.8219748526678075,0.4298833510835549,1.5117997916700285,1.5825590523675428,1.6503126196316635
5/8,2.466199593525299,2.2330410736822994,2.703749168423549,2.51202300263175,1.4725780115743772,1.4533740142540938,1.4020062723515732,0.8724595395984809,1.4210362811335675,1.4187432839262148,2.462810187313962,0.8176875022562582,0.846177131156552,0.4296186390370476,0.8219748526678075,0.0,0.744646599778403,1.6135131385962993,1.6559501711707858,1.6705079074160372
7/8,2.4730699010436936,2.2477659856916006,2.7041815705093497,2.512488401223459,1.4844679857631502,1.448074728790257,1.3960406610940372,0.889053397069041,1.4342307532456644,1.4665764615925918,2.463117746962628,0.8363362259904386,0.9004952716554432,0.8221295180224946,0.4298833510835549,0.744646599778403,0.0,1.5355479853383478,1.5766483519725802,1.5954888209609237
12/4,2.6473890335114487,2.562463702949911,2.7559993450421447,2.600582551723907,1.5938571688858252,1.3173445917394495,1.245882563014849,1.2716527543305935,1.5527598984792792,2.250825872611015,2.344733997370035,1.248558337712245,1.5835575452267647,1.5818212388985289,1.5117997916700285,1.6135131385962993,1.5355479853383478,0.0,0.14109167208201076,0.6829481557905569
12/8,2.7753450855522086,2.6829871251947868,2.891210597102619,2.712765879466653,1.6956431051852519,1.4260218443708879,1.342886389209015,1.3577253727234893,1.6431883961402762,2.32709733203253,2.4395604317236406,1.3239161490664344,1.6551982957831548,1.6524538130619393,1.5825590523675428,1.6559501711707858,1.5766483519725802,0.14109167208201076,0.0,0.6187517215161547
4/4,3.025726361739568,2.828244834396339,3.2385212044073435,3.1166874275784666,2.099986505736156,1.861380378003388,1.7887284402383967,1.448399438922543,2.050991344030468,2.3683950990811624,2.9525040423525586,1.376170140986057,1.7291506650831574,1.7144235294141053,1.6503126196316635,1.6705079074160372,1.5954888209609237,0.6829481557905569,0.6187517215161547,0.0
