Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc3,bc6,bc12,bc2,bc4,bc8
2/2,0.0,0.9816719338482303,135.41324668817214,9.902279314226272,13.963206745795393,6.403063821310861,128.55048724370604,237.1492343267748,10.69945424775465,13.974978003832206,6.419258952444759,44.93588516262642,237.10153083377,10.702283182497291,22.119667093676142,20.89788595635358,17.264174578147514,17.123362155032957,17.123362155032957,17.123362155032957
2/4,0.9816719338482303,0.0,135.2661459419567,9.891206149307884,13.957798367904088,6.37917566937267,128.3969426692691,236.97890316381574,10.691070494057708,13.968639800234874,6.395661325812598,44.94977756595464,236.93117045556505,10.693907149679662,22.317309544352703,20.89021265567216,17.256390552873274,17.120437965037727,17.120437965037727,17.120437965037727
3/4,135.41324668817214,135.2661459419567,0.0,135.98459944697788,135.80295575940647,134.93206012232474,135.30491272188618,116.42582987041483,135.9790815893919,135.83287480714105,134.9867942996034,142.14209288935757,116.39711839650614,135.99697821952037,139.59752598688416,135.56112900338223,134.40966562758052,136.31348574006878,136.31348574006878,136.31348574006878
4/4,9.902279314226272,9.891206149307884,135.98459944697788,0.0,16.408369836920212,9.193280570097627,129.33078444750072,238.25991108778035,1.644681145092648,16.3932076874623,9.19434166453007,43.719101754407966,238.21245862508997,1.6491036802046521,24.134349509777714,24.351780370268603,21.636796941696215,18.50991098593475,18.50991098593475,18.50991098593475
5/4,13.963206745795393,13.957798367904088,135.80295575940647,16.408369836920212,0.0,14.322829817394481,128.81948835135762,237.7385711565837,16.951955392066036,1.362698728389227,14.325733683390066,43.277221216616695,237.69079095668545,16.953235336762962,22.671172674632285,22.50966766251088,19.560502042850658,16.881116206100554,16.881116206100554,16.881116206100554
6/4,6.403063821310861,6.37917566937267,134.93206012232474,9.193280570097627,14.322829817394481,0.0,128.01029777118785,237.2868941137295,9.492716152776456,14.283062507618181,0.17943368156025197,41.04724958411214,237.23904295878887,9.493489174884724,22.20525228487399,21.694504179682507,18.584736198690763,16.19716226031538,16.19716226031538,16.19716226031538
7/4,128.55048724370604,128.3969426692691,135.30491272188618,129.33078444750072,128.81948835135762,128.01029777118785,0.0,177.10177123239885,129.22915309745662,128.77133175109674,128.02491843251704,131.26742831308334,177.03802186055907,129.23226812324705,137.96887803756155,131.17535083786416,126.93418584574793,127.92368783359522,127.92368783359522,127.92368783359522
9/4,237.1492343267748,236.97890316381574,116.42582987041483,238.25991108778035,237.7385711565837,237.2868941137295,177.10177123239885,0.0,238.28482236007662,237.78793470475412,237.33709295897398,244.74311574290644,0.2001756656984068,238.30034656753298,242.92453373243399,236.29181220637517,234.62942275674976,238.13908922807133,238.13908922807133,238.13908922807133
12/4,10.69945424775465,10.691070494057708,135.9790815893919,1.644681145092648,16.951955392066036,9.492716152776456,129.22915309745662,238.28482236007662,0.0,16.929064516170087,9.491788546242045,43.432413144223695,238.23727815693536,0.05704803180007531,24.269092234890422,24.45239418941821,21.776159451283764,18.621048625853284,18.621048625853284,18.621048625853284
5/8,13.974978003832206,13.968639800234874,135.83287480714105,16.3932076874623,1.362698728389227,14.283062507618181,128.77133175109674,237.78793470475412,16.929064516170087,0.0,14.2818757524909,43.29333165881707,237.740025579624,16.929030506389626,22.782584547499148,22.667047751495293,19.512739497327257,16.864219397332974,16.864219397332974,16.864219397332974
6/8,6.419258952444759,6.395661325812598,134.9867942996034,9.19434166453007,14.325733683390066,0.17943368156025197,128.02491843251704,237.33709295897398,9.491788546242045,14.2818757524909,0.0,41.04660370845179,237.28915997467846,9.491653631953305,22.21734997911581,21.652624268643613,18.58334321193376,16.195369411495964,16.195369411495964,16.195369411495964
7/8,44.93588516262642,44.94977756595464,142.14209288935757,43.719101754407966,43.277221216616695,41.04724958411214,131.26742831308334,244.74311574290644,43.432413144223695,43.29333165881707,41.04660370845179,0.0,244.69621999891916,43.43237654081257,42.893574878765655,47.6891446628029,49.44547109283083,36.843581564989265,36.843581564989265,36.843581564989265
9/8,237.10153083377,236.93117045556505,116.39711839650614,238.21245862508997,237.69079095668545,237.23904295878887,177.03802186055907,0.2001756656984068,238.23727815693536,237.740025579624,237.28915997467846,244.69621999891916,0.0,238.2527748931739,242.87864739541283,236.23976741871383,234.5808877620559,238.09116357916272,238.09116357916272,238.09116357916272
12/8,10.702283182497291,10.693907149679662,135.99697821952037,1.6491036802046521,16.953235336762962,9.493489174884724,129.23226812324705,238.30034656753298,0.05704803180007531,16.929030506389626,9.491653631953305,43.43237654081257,238.2527748931739,0.0,24.272645480310093,24.44070174984753,21.776065712195408,18.62092275039319,18.62092275039319,18.62092275039319
bc3,22.119667093676142,22.317309544352703,139.59752598688416,24.134349509777714,22.671172674632285,22.20525228487399,137.96887803756155,242.92453373243399,24.269092234890422,22.782584547499148,22.21734997911581,42.893574878765655,242.87864739541283,24.272645480310093,0.0,20.42035224833365,20.48020777421953,16.738726381615233,16.738726381615233,16.738726381615233
bc6,20.89788595635358,20.89021265567216,135.56112900338223,24.351780370268603,22.50966766251088,21.694504179682507,131.17535083786416,236.29181220637517,24.45239418941821,22.667047751495293,21.652624268643613,47.6891446628029,236.23976741871383,24.44070174984753,20.42035224833365,0.0,14.4253452291444,18.63718150838853,18.63718150838853,18.63718150838853
