,bc4,bc8,9/4,6/4,9/8,6/8,bc12,2/2,2/4,3/4,5/4,7/4,bc16,5/8,7/8,12/4,12/8,bc24,4/4,bc48
bc4,0.0,1.4142135623730951,1.527241141744452,1.532713086343538,1.6371866158288673,1.639656837068747,1.9883380930045633,2.089241237809631,2.2071441381463903,2.2274000675525847,2.250893514376732,2.2511478991248537,2.449489742783178,2.51202300263175,2.512488401223459,2.600582551723907,2.712765879466653,3.104249287084341,3.1166874275784666,4.612236688714845
bc8,1.4142135623730951,0.0,1.2625090333386704,1.2585831744204157,1.3161587636900292,1.3109829769880035,2.4208397543577864,2.1178565658355466,2.208662028879656,2.228734715968673,2.2525570492566733,2.2526717420512137,2.0,2.462810187313962,2.463117746962628,2.344733997370035,2.4395604317236406,2.76339711883103,2.9525040423525586,4.390071442781687
9/4,1.527241141744452,1.2625090333386704,0.0,0.5240224645416621,0.1844958216072874,0.574064342815305,1.7514942771371529,1.1428908660453205,1.2264637718362361,1.0861603474989177,1.2609316794164562,1.2732070510642894,2.34728657160716,1.4725780115743772,1.4844679857631502,1.5938571688858252,1.6956431051852519,1.7881970880719382,2.099986505736156,3.7323241338536004
6/4,1.532713086343538,1.2585831744204157,0.5240224645416621,0.0,0.571912250168379,0.17885668969107618,1.732751831216743,0.9834575355577644,1.0691295218226076,1.226996520213322,1.2426393679204255,1.2371016162813258,2.1556899878715083,1.4533740142540938,1.448074728790257,1.3173445917394495,1.4260218443708879,1.7423604434712905,1.861380378003388,3.4538366349559375
9/8,1.6371866158288673,1.3161587636900292,0.1844958216072874,0.571912250168379,0.0,0.5635773841260777,1.779958740071336,1.1492836030637121,1.2171599950985257,1.0613030634166942,1.2498546646895923,1.2631699825700682,2.375213108516975,1.4210362811335675,1.4342307532456644,1.5527598984792792,1.6431883961402762,1.6948335458725576,2.050991344030468,3.6790714291506967
6/8,1.639656837068747,1.3109829769880035,0.574064342815305,0.17885668969107618,0.5635773841260777,0.0,1.759672949936043,0.9786986459206967,1.046857796430589,1.2164373474380388,1.2310758329750044,1.225053384060648,2.1707095110862107,1.4020062723515732,1.3960406610940372,1.245882563014849,1.342886389209015,1.6465354292462844,1.7887284402383967,3.3764469985028507
bc12,1.9883380930045633,2.4208397543577864,1.7514942771371529,1.732751831216743,1.779958740071336,1.759672949936043,0.0,1.2304973952373277,1.2686558685193914,1.3153884198088388,1.306101922949829,1.3521394837980825,3.1103727436838122,1.4187432839262148,1.4665764615925918,2.250825872611015,2.32709733203253,2.3492613507468145,2.3683950990811624,4.033425013636654
2/2,2.089241237809631,2.1178565658355466,1.1428908660453205,0.9834575355577644,1.1492836030637121,0.9786986459206967,1.2304973952373277,0.0,0.15563800795701202,0.6694558422690295,0.6551968666372089,0.6746283489097172,2.7102129131077257,0.8724595395984809,0.889053397069041,1.2716527543305935,1.3577253727234893,1.4123555888945691,1.448399438922543,3.192495031148593
2/4,2.2071441381463903,2.208662028879656,1.2264637718362361,1.0691295218226076,1.2171599950985257,1.046857796430589,1.2686558685193914,0.15563800795701202,0.0,0.6668799675683812,0.6474558519509955,0.6682506181132923,2.769319084763189,0.8176875022562582,0.8363362259904386,1.248558337712245,1.3239161490664344,1.3324842042283935,1.376170140986057,3.124875788950948
3/4,2.2274000675525847,2.228734715968673,1.0861603474989177,1.226996520213322,1.0613030634166942,1.2164373474380388,1.3153884198088388,0.6694558422690295,0.6668799675683812,0.0,0.6833686713587299,0.74226460512984,2.976207409949874,0.846177131156552,0.9004952716554432,1.5835575452267647,1.6551982957831548,1.3802397243162583,1.7291506650831574,3.479796372737125
5/4,2.250893514376732,2.2525570492566733,1.2609316794164562,1.2426393679204255,1.2498546646895923,1.2310758329750044,1.306101922949829,0.6551968666372089,0.6474558519509955,0.6833686713587299,0.0,0.6607983169511722,2.9786178253333047,0.4296186390370476,0.8221295180224946,1.5818212388985289,1.6524538130619393,1.3496760814061413,1.7144235294141053,3.4838280361399963
7/4,2.2511478991248537,2.2526717420512137,1.2732070510642894,1.2371016162813258,1.2631699825700682,1.225053384060648,1.3521394837980825,0.6746283489097172,0.6682506181132923,0.74226460512984,0.6607983169511722,0.0,2.959211565471458,0.8219748526678075,0.4298833510835549,1.5117997916700285,1.5825590523675428,1.4121228693893944,1.6503126196316635,3.3808750715595597
bc16,2.449489742783178,2.0,2.34728657160716,2.1556899878715083,2.375213108516975,2.1707095110862107,3.1103727436838122,2.7102129131077257,2.769319084763189,2.976207409949874,2.9786178253333047,2.959211565471458,0.0,3.1366553768516274,3.115881793998887,2.5031443533988305,2.5647916133063053,3.4112114616897675,2.9961064828815767,3.9080336836735783
5/8,2.51202300263175,2.462810187313962,1.4725780115743772,1.4533740142540938,1.4210362811335675,1.4020062723515732,1.4187432839262148,0.8724595395984809,0.8176875022562582,0.846177131156552,0.4296186390370476,0.8219748526678075,3.1366553768516274,0.0,0.744646599778403,1.6135131385962993,1.6559501711707858,1.1936505969855735,1.6705079074160372,3.4024183075322756
7/8,2.512488401223459,2.463117746962628,1.4844679857631502,1.448074728790257,1.4342307532456644,1.3960406610940372,1.4665764615925918,0.889053397069041,0.8363362259904386,0.9004952716554432,0.8221295180224946,0.4298833510835549,3.115881793998887,0.744646599778403,0.0,1.5355479853383478,1.5766483519725802,1.2724271107618381,1.5954888209609237,3.2824858270922634
12/4,2.600582551723907,2.344733997370035,1.5938571688858252,1.3173445917394495,1.5527598984792792,1.245882563014849,2.250825872611015,1.2716527543305935,1.248558337712245,1.5835575452267647,1.5818212388985289,1.5117997916700285,2.5031443533988305,1.6135131385962993,1.5355479853383478,0.0,0.14109167208201076,1.640926511653269,0.6829481557905569,2.326437020349018
12/8,2.712765879466653,2.4395604317236406,1.6956431051852519,1.4260218443708879,1.6431883961402762,1.342886389209015,2.32709733203253,1.3577253727234893,1.3239161490664344,1.6551982957831548,1.6524538130619393,1.5825590523675428,2.5647916133063053,1.6559501711707858,1.5766483519725802,0.14109167208201076,0.0,1.6401505283209732,0.6187517215161547,2.240553651730541
bc24,3.104249287084341,2.76339711883103,1.7881970880719382,1.7423604434712905,1.6948335458725576,1.6465354292462844,2.3492613507468145,1.4123555888945691,1.3324842042283935,1.3802397243162583,1.3496760814061413,1.4121228693893944,3.4112114616897675,1.1936505969855735,1.2724271107618381,1.640926511653269,1.6401505283209732,0.0,1.6630793697467048,3.2154427884937453
4/4,3.1166874275784666,2.9525040423525586,2.099986505736156,1.861380378003388,2.050991344030468,1.7887284402383967,2.3683950990811624,1.448399438922543,1.376170140986057,1.7291506650831574,1.7144235294141053,1.6503126196316635,2.9961064828815767,1.6705079074160372,1.5954888209609237,0.6829481557905569,0.6187517215161547,1.6630793697467048,0.0,2.005203865806882
bc48,4.612236688714845,4.390071442781687,3.7323241338536004,3.4538366349559375,3.6790714291506967,3.3764469985028507,4.033425013636654,3.192495031148593,3.124875788950948,3.479796372737125,3.4838280361399963,3.3808750715595597,3.9080336836735783,3.4024183075322756,3.2824858270922634,2.326437020349018,2.240553651730541,3.2154427884937453,2.005203865806882,0.0
