,4/4,12/4,12/8,6/4,6/8,2/4,2/2,5/8,5/4,7/8,7/4,3/4,9/8,9/4
4/4,0.0,1.644681145092648,1.6491036802046521,9.193280570097627,9.19434166453007,9.891206149307884,9.902279314226272,16.3932076874623,16.408369836920212,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
12/4,1.644681145092648,0.0,0.05704803180007531,9.492716152776456,9.491788546242045,10.691070494057708,10.69945424775465,16.929064516170087,16.951955392066036,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
12/8,1.6491036802046521,0.05704803180007531,0.0,9.493489174884724,9.491653631953305,10.693907149679662,10.702283182497291,16.929030506389626,16.953235336762962,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
6/4,9.193280570097627,9.492716152776456,9.493489174884724,0.0,0.17943368156025197,6.37917566937267,6.403063821310861,14.283062507618181,14.322829817394481,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
6/8,9.19434166453007,9.491788546242045,9.491653631953305,0.17943368156025197,0.0,6.395661325812598,6.419258952444759,14.2818757524909,14.325733683390066,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
2/4,9.891206149307884,10.691070494057708,10.693907149679662,6.37917566937267,6.395661325812598,0.0,0.9816719338482303,13.968639800234874,13.957798367904088,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
2/2,9.902279314226272,10.69945424775465,10.702283182497291,6.403063821310861,6.419258952444759,0.9816719338482303,0.0,13.974978003832206,13.963206745795393,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
5/8,16.3932076874623,16.929064516170087,16.929030506389626,14.283062507618181,14.2818757524909,13.968639800234874,13.974978003832206,0.0,1.362698728389227,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
5/4,16.408369836920212,16.951955392066036,16.953235336762962,14.322829817394481,14.325733683390066,13.957798367904088,13.963206745795393,1.362698728389227,0.0,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
7/8,43.719101754407966,43.432413144223695,43.43237654081257,41.04724958411214,41.04660370845179,44.94977756595464,44.93588516262642,43.29333165881707,43.277221216616695,0.0,131.26742831308334,142.14209288935757,244.69621999891916,244.74311574290644
7/4,129.33078444750072,129.22915309745662,129.23226812324705,128.01029777118785,128.02491843251704,128.3969426692691,128.55048724370604,128.77133175109674,128.81948835135762,131.26742831308334,0.0,135.30491272188618,177.03802186055907,177.10177123239885
3/4,135.98459944697788,135.9790815893919,135.99697821952037,134.93206012232474,134.9867942996034,135.2661459419567,135.41324668817214,135.83287480714105,135.80295575940647,142.14209288935757,135.30491272188618,0.0,116.39711839650614,116.42582987041483
9/8,238.21245862508997,238.23727815693536,238.2527748931739,237.23904295878887,237.28915997467846,236.93117045556505,237.10153083377,237.740025579624,237.69079095668545,244.69621999891916,177.03802186055907,116.39711839650614,0.0,0.2001756656984068
9/4,238.25991108778035,238.28482236007662,238.30034656753298,237.2868941137295,237.33709295897398,236.97890316381574,237.1492343267748,237.78793470475412,237.7385711565837,244.74311574290644,177.10177123239885,116.42582987041483,0.2001756656984068,0.0
