,bc16,bc8,6/4,6/8,9/4,9/8,bc4,12/4,12/8,2/2,2/4,7/4,3/4,5/4,4/4,bc12,7/8,5/8,bc24,bc48
bc16,0.0,2.0,2.1556899878715083,2.1707095110862107,2.34728657160716,2.375213108516975,2.449489742783178,2.5031443533988305,2.5647916133063053,2.7102129131077257,2.769319084763189,2.959211565471458,2.976207409949874,2.9786178253333047,2.9961064828815767,3.1103727436838122,3.115881793998887,3.1366553768516274,3.4112114616897675,3.9080336836735783
bc8,2.0,0.0,1.2585831744204157,1.3109829769880035,1.2625090333386704,1.3161587636900292,1.4142135623730951,2.344733997370035,2.4395604317236406,2.1178565658355466,2.208662028879656,2.2526717420512137,2.228734715968673,2.2525570492566733,2.9525040423525586,2.4208397543577864,2.463117746962628,2.462810187313962,2.76339711883103,4.390071442781687
6/4,2.1556899878715083,1.2585831744204157,0.0,0.17885668969107618,0.5240224645416621,0.571912250168379,1.532713086343538,1.3173445917394495,1.4260218443708879,0.9834575355577644,1.0691295218226076,1.2371016162813258,1.226996520213322,1.2426393679204255,1.861380378003388,1.732751831216743,1.448074728790257,1.4533740142540938,1.7423604434712905,3.4538366349559375
6/8,2.1707095110862107,1.3109829769880035,0.17885668969107618,0.0,0.574064342815305,0.5635773841260777,1.639656837068747,1.245882563014849,1.342886389209015,0.9786986459206967,1.046857796430589,1.225053384060648,1.2164373474380388,1.2310758329750044,1.7887284402383967,1.759672949936043,1.3960406610940372,1.4020062723515732,1.6465354292462844,3.3764469985028507
9/4,2.34728657160716,1.2625090333386704,0.5240224645416621,0.574064342815305,0.0,0.1844958216072874,1.527241141744452,1.5938571688858252,1.6956431051852519,1.1428908660453205,1.2264637718362361,1.2732070510642894,1.0861603474989177,1.2609316794164562,2.099986505736156,1.7514942771371529,1.4844679857631502,1.4725780115743772,1.7881970880719382,3.7323241338536004
9/8,2.375213108516975,1.3161587636900292,0.571912250168379,0.5635773841260777,0.1844958216072874,0.0,1.6371866158288673,1.5527598984792792,1.6431883961402762,1.1492836030637121,1.2171599950985257,1.2631699825700682,1.0613030634166942,1.2498546646895923,2.050991344030468,1.779958740071336,1.4342307532456644,1.4210362811335675,1.6948335458725576,3.6790714291506967
bc4,2.449489742783178,1.4142135623730951,1.532713086343538,1.639656837068747,1.527241141744452,1.6371866158288673,0.0,2.600582551723907,2.712765879466653,2.089241237809631,2.2071441381463903,2.2511478991248537,2.2274000675525847,2.250893514376732,3.1166874275784666,1.9883380930045633,2.512488401223459,2.51202300263175,3.104249287084341,4.612236688714845
12/4,2.5031443533988305,2.344733997370035,1.3173445917394495,1.245882563014849,1.5938571688858252,1.5527598984792792,2.600582551723907,0.0,0.14109167208201076,1.2716527543305935,1.248558337712245,1.5117997916700285,1.5835575452267647,1.5818212388985289,0.6829481557905569,2.250825872611015,1.5355479853383478,1.6135131385962993,1.640926511653269,2.326437020349018
12/8,2.5647916133063053,2.4395604317236406,1.4260218443708879,1.342886389209015,1.6956431051852519,1.6431883961402762,2.712765879466653,0.14109167208201076,0.0,1.3577253727234893,1.3239161490664344,1.5825590523675428,1.6551982957831548,1.6524538130619393,0.6187517215161547,2.32709733203253,1.5766483519725802,1.6559501711707858,1.6401505283209732,2.240553651730541
2/2,2.7102129131077257,2.1178565658355466,0.9834575355577644,0.9786986459206967,1.1428908660453205,1.1492836030637121,2.089241237809631,1.2716527543305935,1.3577253727234893,0.0,0.15563800795701202,0.6746283489097172,0.6694558422690295,0.6551968666372089,1.448399438922543,1.2304973952373277,0.889053397069041,0.8724595395984809,1.4123555888945691,3.192495031148593
2/4,2.769319084763189,2.208662028879656,1.0691295218226076,1.046857796430589,1.2264637718362361,1.2171599950985257,2.2071441381463903,1.248558337712245,1.3239161490664344,0.15563800795701202,0.0,0.6682506181132923,0.6668799675683812,0.6474558519509955,1.376170140986057,1.2686558685193914,0.8363362259904386,0.8176875022562582,1.3324842042283935,3.124875788950948
7/4,2.959211565471458,2.2526717420512137,1.2371016162813258,1.225053384060648,1.2732070510642894,1.2631699825700682,2.2511478991248537,1.5117997916700285,1.5825590523675428,0.6746283489097172,0.6682506181132923,0.0,0.74226460512984,0.6607983169511722,1.6503126196316635,1.3521394837980825,0.4298833510835549,0.8219748526678075,1.4121228693893944,3.3808750715595597
3/4,2.976207409949874,2.228734715968673,1.226996520213322,1.2164373474380388,1.0861603474989177,1.0613030634166942,2.2274000675525847,1.5835575452267647,1.6551982957831548,0.6694558422690295,0.6668799675683812,0.74226460512984,0.0,0.6833686713587299,1.7291506650831574,1.3153884198088388,0.9004952716554432,0.846177131156552,1.3802397243162583,3.479796372737125
5/4,2.9786178253333047,2.2525570492566733,1.2426393679204255,1.2310758329750044,1.2609316794164562,1.2498546646895923,2.250893514376732,1.5818212388985289,1.6524538130619393,0.6551968666372089,0.6474558519509955,0.6607983169511722,0.6833686713587299,0.0,1.7144235294141053,1.306101922949829,0.8221295180224946,0.4296186390370476,1.3496760814061413,3.4838280361399963
4/4,2.9961064828815767,2.9525040423525586,1.861380378003388,1.7887284402383967,2.099986505736156,2.050991344030468,3.1166874275784666,0.6829481557905569,0.6187517215161547,1.448399438922543,1.376170140986057,1.6503126196316635,1.7291506650831574,1.7144235294141053,0.0,2.3683950990811624,1.5954888209609237,1.6705079074160372,1.6630793697467048,2.005203865806882
bc12,3.1103727436838122,2.4208397543577864,1.732751831216743,1.759672949936043,1.7514942771371529,1.779958740071336,1.9883380930045633,2.250825872611015,2.32709733203253,1.2304973952373277,1.2686558685193914,1.3521394837980825,1.3153884198088388,1.306101922949829,2.3683950990811624,0.0,1.4665764615925918,1.4187432839262148,2.3492613507468145,4.033425013636654
