Index,Meter,Strat level,#Pulses + Prime Factors,Metrical Levels,Indispensability,Weights,padded_indispensability,DFT,DFT Magnitude,DFT Phase,DFT Phase_Unwrap
0,2/4,16n,8 2 2 2,0 2 1 2 0 2 1 2,7 0 4 2 6 1 5 3,1. 0.15625 0.375 0.21875 0.75 0.1875 0.5 0.25,7 0 4 2 6 1 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(0.8593852259334148-0.4044642286055509j), (0.5128813245466359-0.6240739032227142j), (0.13942635905873865-0.581558925903859j), (-0.08800362911206268-0.34500907278015663j), (-0.10160001610690819-0.07396670313945096j), (0.03571428571428575+0.08622191294189628j), (0.18929123677481527+0.08951178645571216j), (0.25+0j), (0.2012563196992854-0.07098390468276855j), (0.11392261321110767-0.05088964983322703j), (0.08072320553651631+0.04678142590766711j), (0.14285714285714285+0.14285714285714285j), (0.26191359529331376+0.15898214636072577j), (0.3529272714219099+0.07795660568772785j), (0.34925130752832517-0.044986688205702265j), (0.25-0.12371791482634836j), (0.11814485628347206-0.10133325645689245j), (0.03571428571428575+0.014793341513324825j), (0.051856434090530645+0.16375968251937298j), (0.1594322005406341+0.2735805013515852j), (0.3100660137136507+0.30158114771606415j), (0.448840219391775+0.2470798412563308j), (0.5402854621948453+0.13630792041893627j)]","[0.9498074956400954, 0.8077843089292743, 0.5980388732338614, 0.3560560335642648, 0.12567273549280156, 0.09332592606259836, 0.20938847206623432, 0.25, 0.21340764031054124, 0.12477226559214234, 0.09329918393022098, 0.20203050891044216, 0.30638873063631594, 0.3614344909989448, 0.35213673186130673, 0.2789374884252377, 0.15564907943961828, 0.03865686429615696, 0.17177404744440117, 0.3166463599806789, 0.43254146797505133, 0.5123533843929504, 0.5572147071174922]","[-0.4398879774306255, -0.8828866958992412, -1.3354916355841013, -1.8205469245244725, -2.5123086885176273, 1.1780972450961722, 0.4417160912101452, 0.0, -0.33908167513760307, -0.42010931966616705, 0.5252311645889036, 0.7853981633974483, 0.5455523250122201, 0.21739500834436984, -0.12810355353215905, -0.4595365263452448, -0.7089493753393867, 0.39269908169872386, 1.2641244402011862, 1.0431485904669107, 0.7715268952403821, 0.5032155520806129, 0.2471315771558182]","[-0.4398879774306255, -0.8828866958992412, -1.3354916355841013, -1.8205469245244725, -2.5123086885176273, -5.105088062083414, -5.8414692159694415, -6.283185307179586, -6.622266982317189, -6.703294626845754, -5.757954142590682, -5.497787143782138, -5.737632982167366, -6.065790298835217, -6.411288860711745, -6.742721833524831, -6.992134682518973, -5.8904862254808625, -5.0190608669784, -5.240036716712676, -5.511658411939204, -5.779969755098973, -6.036053730023768]"
1,3/4,16n,12 3 2 2,0 2 1 2 0 2 1 2 0 2 1 2,11 0 6 3 9 1 7 4 10 2 8 5,1. 0.145833 0.333333 0.208333 0.666667 0.166667 0.416667 0.229167 0.833333 0.1875 0.5 0.25,11 0 6 3 9 1 7 4 10 2 8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(0.6670927106153147-0.5928110734278552j), (0.05862075313431466-0.6077839535575003j), (-0.182655886709726-0.18753062482047927j), (0.022727272727272728+0.0848193365356563j), (0.22373198577695125-0.009588463771953363j), (0.14967696449152054-0.15962930160504146j), (0.0031315006495937704-0.09938296988899645j), (0.022727272727272756+0.03936479108111085j), (0.11878028839427654+0.04900035752544843j), (0.11110714124246245-0.0020258754412254016j), (0.06297282388032682+0.0489512236099768j), (0.13636363636363635+0.13636363636363635j), (0.26970517148935613+0.08136983910661673j), (0.25956106504750354-0.07640413822620516j), (0.10437004586872127-0.11658952411295341j), (0.022727272727272728+0.01312159702703695j), (0.11429874036004906+0.11505987520473475j), (0.21395939914484313+0.052491910516170644j), (0.15615724993704544-0.047282227032427356j), (0.022727272727272735+0.0060897543734345925j), (0.020111613052788847+0.1923340389956643j), (0.20707467693935575+0.31507915771232803j), (0.4423037566853022+0.2371986958775353j)]","[0.8924335568179708, 0.6106043947598313, 0.26178408697870775, 0.08781143875355166, 0.2239373575292965, 0.21882574718325354, 0.0994322935483014, 0.04545454545454547, 0.1284904352418859, 0.11112560913837935, 0.07976088540366519, 0.1928473039599675, 0.281712495719199, 0.27057261285407924, 0.1564807451654162, 0.0262431940540739, 0.16218192541101195, 0.22030439203987734, 0.16315849870922103, 0.02352900410022916, 0.19338267641123089, 0.3770342125779153, 0.5018922538791911]","[-0.7265081530097701, -1.4746437621269464, -2.343026921357729, 1.3089969389957472, -0.04283071002416775, -0.8175633851630678, -1.5392973194094972, 1.0471975511965972, 0.3912606779768869, -0.018231510186731324, 0.6607696359254069, 0.7853981633974483, 0.29301497933319587, -0.2862735736455226, -0.8406437638547191, 0.5235987755982989, 0.7887166873115582, 0.2405840779546656, -0.2940107818367932, 0.26179938779914874, 1.4666088944503528, 0.9893659187354493, 0.49224870179445457]","[-0.7265081530097701, -1.4746437621269464, -2.343026921357729, -4.974188368183839, -6.326016017203754, -7.100748692342654, -7.822482626589084, -5.235987755982989, -5.891924629202699, -6.301416817366317, -5.6224156712541795, -5.497787143782138, -5.99017032784639, -6.569458880825109, -7.123829071034305, -5.759586531581287, -5.494468619868028, -6.04260122922492, -6.577196089016379, -6.021385919380437, -4.816576412729233, -5.2938193884441365, -5.790936605385132]"
2,4/4,16n,16 2 2 2 2,0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(0.4464407196026312-0.6867955344312928j), (-0.17486178967401736-0.3528957636378325j), (0.008333333333333333+0.04189449576771541j), (0.15833333333333333-0.1160683602522959j), (-0.03289339076346063-0.1123293324023891j), (0.03333333333333332+0.08047378541243652j), (0.17701295687979882-0.01507517784611001j), (0.05833333333333336-0.10103629710818449j), (0.008333333333333363+0.012471714688879058j), (0.06905396920152512+0.03416702435520003j), (0.04593308902028844+0.053402842140581885j), (0.13333333333333333+0.13333333333333333j), (0.2559247195370496+0.008999192898663015j), (0.12081777822202926-0.12444398395139003j), (0.008333333333333333+0.005568155315994142j), (0.125+0.07216878364870322j), (0.13198808075703755-0.032457255288116243j), (0.03333333333333333+0.013807118745769838j), (0.11081552494618213+0.0994767350562j), (0.15833333333333333-0.0005983064143707676j), (0.008333333333333314+0.0016576030614971556j), (0.018323375583796316+0.23904857800209095j), (0.33144496668713946+0.3062793380928596j)]","[0.8191443232020108, 0.39384269128870375, 0.04271525746235844, 0.19631940478745646, 0.11704637574006356, 0.08710419765842511, 0.1776537303025787, 0.11666666666666665, 0.014999603718940263, 0.07704437822303463, 0.07043942231192453, 0.18856180831641267, 0.2560828919372492, 0.17344520943572142, 0.010022414782250747, 0.14433756729740643, 0.13592029606634992, 0.03607974000974647, 0.14891508112524843, 0.15833446376266258, 0.008496592985069301, 0.2397498044579111, 0.45129014933282025]","[-0.9943969274345711, -2.030841870704742, 1.3744467859455345, -0.6325732308313158, -1.8556621657639625, 1.1780972450961726, -0.08495925603172595, -1.0471975511965974, 0.9817477042468081, 0.45946872955756846, 0.8604537972371358, 0.7853981633974483, 0.03514895550073852, -0.8001821293339921, 0.589048622548085, 0.5235987755982988, -0.24112603639458396, 0.39269908169872425, 0.7315311277171177, -0.0037787593681547363, 0.19634954084936315, 1.4942946554809429, 0.7459570164929973]","[-0.9943969274345711, -2.030841870704742, -4.908738521234052, -6.915758538010902, -8.13884747294355, -5.105088062083413, -6.368144563211312, -7.330382858376184, -5.301437602932778, -5.823716577622018, -5.422731509942451, -5.497787143782138, -6.248036351678848, -7.083367436513578, -5.694136684631501, -5.759586531581287, -6.52431134357417, -5.890486225480862, -5.551654179462469, -6.286964066547741, -6.086835766330223, -4.788890651698644, -5.537228290686589]"
3,5/4,16n,20 5 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9,1. 0.1375 0.3 0.2 0.6 0.15 0.35 0.2125 0.7 0.175 0.45 0.2375 0.9 0.1625 0.4 0.225 0.8 0.1875 0.5 0.25,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(0.20015608022791623-0.7030560671393582j), (-0.17992196434521052-0.058362219721312635j), (0.1737464445569304-0.04573929197064162j), (-0.016632915988654642-0.11921386891900508j), (0.08894313343599708+0.03747572241166942j), (0.08139192681088031-0.12206520081802691j), (-0.026250012589347112+0.010598343731631507j), (0.10789473684210528+0.013674085322912189j), (0.030594361910066325-0.042935003421263294j), (0.031251181640390036+0.03204643024762843j), (0.029890639576670135+0.052193362290798816j), (0.13157894736842105+0.13157894736842105j), (0.21951592981630902-0.04954171862468401j), (0.021279145272942366-0.0692625766258678j), (0.09061320257163294+0.06307623670363645j), (0.10789473684210527-0.050138312850678025j), (0.024504563351026118+0.026713114107173485j), (0.11860807318911967+0.025303220234604636j), (0.0287942935546065-0.011227156157766989j), (0.07452765283075992+0.10868755312953138j), (0.12609862254031773-0.0028859465825839914j), (-0.04102941519970082+0.09557836609955196j), (0.2133927410478747+0.33371071141645314j)]","[0.7309926743775658, 0.18915089728742493, 0.17966610650356424, 0.12036860237172885, 0.09651585753486358, 0.14671250458203258, 0.02830879811639298, 0.10875778063037804, 0.05272029494860597, 0.04476170288915253, 0.06014646624300533, 0.18608073189119673, 0.2250369421392987, 0.07245761895343505, 0.11040545329367098, 0.118975311110077, 0.03625002193554266, 0.12127707112177666, 0.030905669005859407, 0.13178526185331568, 0.12613164271602528, 0.10401267700568725, 0.39610516387191996]","[-1.2934398939820098, -2.8279259858219112, -0.25741276183786216, -1.7094230853447507, 0.3987705494222485, -0.9827079376918513, 2.7578609419055455, 0.1260633540934127, -0.9516812717243315, 0.79796114556126, 1.0506994754209267, 0.7853981633974483, -0.22196749253109244, -1.2727250005545845, 0.6081065885772762, -0.43500814906657753, 0.8284923356480604, 0.21018391418504456, -0.37177714406701307, 0.9697285489925974, -0.022882429701596874, 1.976282465013738, 1.0018703804199847]","[-1.2934398939820098, -2.8279259858219112, -0.25741276183786216, -1.7094230853447507, 0.3987705494222485, -0.9827079376918513, -3.5253243652740407, -6.157121953086174, -7.234866578903918, -5.485224161618326, -5.23248583175866, -5.497787143782138, -6.505152799710679, -7.5559103077341705, -5.67507871860231, -6.718193456246164, -5.454692971531526, -6.0730013929945414, -6.6549624512465995, -5.313456758186989, -6.306067736881183, -4.306902842165848, -5.281314926759602]"
4,6/4,16n,24 2 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3,23 0 12 6 18 2 14 8 20 4 16 10 22 1 13 7 19 3 15 9 21 5 17 11,1. 0.067708 0.145833 0.098958 0.3125 0.078125 0.1875 0.109375 0.4375 0.088542 0.229167 0.119792 0.75 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125,23 0 12 6 18 2 14 8 20 4 16 10 22 1 13 7 19 3 15 9 21 5 17 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(0.013321196610912607-0.6283906715138812j), (0.0036231884057971015+0.027520848234511414j), (0.01687367817638531-0.18796481618858704j), (0.021739130434782608+0.0811315392949756j), (0.10251446522603924-0.11511323131423297j), (0.0036231884057971015+0.008747150588308316j), (0.0581369920727845-0.05151845521954986j), (0.021739130434782636+0.03765327842541038j), (0.08296645789880777-0.03427265853629731j), (0.0036231884057971015+0.004721831061018862j), (0.014206492625978184+0.049651570795783695j), (0.13043478260869565+0.13043478260869565j), (0.17175149698250736-0.08985055110876078j), (0.0036231884057971015+0.0027801702463005804j), (0.11232156723384316-0.008866161040573486j), (0.021739130434782608+0.012551092808470124j), (0.11423465413599933+0.0012822358205900294j), (0.0036231884057971015+0.001500773776714112j), (0.10334687713551488+0.04964411555789095j), (0.021739130434782615+0.005824982444154828j), (0.10667887640110862+0.08381849290133964j), (0.0036231884057971015+0.0004770018028528843j), (0.10364724550011896+0.323049101474228j)]","[0.6285318530709587, 0.027758324549059375, 0.18872067491403674, 0.08399355011209289, 0.15414367195634374, 0.009467847571567947, 0.0776792190709959, 0.04347826086956524, 0.0897666322160984, 0.005951737796031094, 0.051644001735155, 0.1844626385704037, 0.19383420299389958, 0.004566929036269074, 0.11267095134711579, 0.025102185616940248, 0.11424185018753413, 0.003921710870624615, 0.1146521487944663, 0.022506003921958326, 0.1356684282449492, 0.0036544527557251906, 0.3392690281518017]","[-1.5496005925723384, 1.439896632895322, -1.4812659048464927, 1.3089969389957472, -0.8432249932291084, 1.1780972450961724, -0.7251137238407637, 1.0471975511965972, -0.39174013799632584, 0.9162978572970231, 1.292118166109502, 0.7853981633974483, -0.4819899389086176, 0.6544984694978735, -0.07877218350304613, 0.5235987755982988, 0.011224106942264875, 0.39269908169872403, 0.4478157425675983, 0.2617993877991488, 0.6659656191776566, 0.13089969389957493, 1.2603311121465257]","[-1.5496005925723384, 1.439896632895322, -1.4812659048464927, 1.3089969389957472, -0.8432249932291084, 1.1780972450961724, -0.7251137238407637, 1.0471975511965972, -0.39174013799632584, 0.9162978572970231, 1.292118166109502, 0.7853981633974483, -0.4819899389086176, 0.6544984694978735, -0.07877218350304613, 0.5235987755982988, 0.011224106942264875, 0.39269908169872403, 0.4478157425675983, 0.2617993877991488, 0.6659656191776566, 0.13089969389957493, 1.2603311121465257]"
5,7/4,16n,28 7 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13,1. 0.133929 0.285714 0.196429 0.571429 0.169643 0.428571 0.232143 0.857143 0.142857 0.321429 0.205357 0.642857 0.178571 0.464286 0.241071 0.928571 0.151786 0.357143 0.214286 0.714286 0.160714 0.392857 0.223214 0.785714 0.1875 0.5 0.25,27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(-0.1258023651443664-0.5036988818425812j), (0.13278115649488925-0.03637420300481408j), (-0.07000619017627287-0.07549542255285323j), (0.09682030743744263-0.09211774623198087j), (-0.05503203345079848+0.03800900080916089j), (0.08214352521612212-0.030971181960810966j), (0.06730854785588652+0.02518345934938259j), (0.022486772486772524-0.06644110240674261j), (0.05280114042165411+0.02481020365028453j), (0.011859675817742414-0.018319539360727628j), (0.0016932301097125951+0.04238629743682648j), (0.12962962962962962+0.12962962962962962j), (0.11791156256286243-0.10807495887379627j), (0.04516449421222873+0.040400440593522706j), (0.046930300874205653-0.05043754982563066j), (0.06746031746031746+0.034366087451763436j), (0.014505238982506186+0.0016421718114419072j), (0.10833266526006832+0.02722987624024722j), (0.01800185304170606+0.012697389535703076j), (0.08307387245673725-0.00047484636061171677j), (0.012602791208455389+0.08206105677546435j), (0.08003594331640945-0.005147093011974478j), (0.014324018952544013+0.2788271167992445j)]","[0.5191712613823911, 0.13767322965760517, 0.10295836774847561, 0.1336407539006741, 0.06688205176458477, 0.08778822726870245, 0.07186548016447238, 0.0701432464738775, 0.05833958034641514, 0.021823323140420042, 0.04242010417959344, 0.18332398030762342, 0.15994790815008672, 0.060597253548302005, 0.06889411856288201, 0.07570946042991632, 0.014597900061238653, 0.11170242845349959, 0.022029308068038895, 0.08307522954542128, 0.0830231737850939, 0.08020127672937273, 0.27919480400167257]","[-1.8155463522788393, -0.2673814022127229, -2.3184861083162938, -0.7605138670831996, 2.5371555955566585, -0.3605556947973591, 0.3580248157188178, -1.244450814938251, 0.43926265337707976, -0.996266200173923, 1.5308699736416493, 0.7853981633974483, -0.7418982306353127, 0.7297779503853632, -0.821403202427258, 0.47116050484928035, 0.11273232770470283, 0.2462528482465842, 0.6142994826329797, -0.0057158908722828175, 1.418408745663678, -0.06422133187067941, 1.5194690452893533]","[-1.8155463522788393, -0.2673814022127229, -2.3184861083162938, -0.7605138670831996, -3.7460297116229277, -6.643741001976945, -5.925160491460768, -7.527636122117837, -5.843922653802506, -7.279451507353509, -4.752315333537937, -5.497787143782138, -7.025083537814899, -5.553407356794223, -7.104588509606844, -5.812024802330306, -6.1704529794748835, -6.036932458933002, -5.6688858245466065, -6.288901198051869, -4.864776561515908, -6.3474066390502655, -4.763716261890233]"
6,8/4,16n,32 2 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,31 0 16 8 24 4 20 12 28 2 18 10 26 6 22 14 30 1 17 9 25 5 21 13 29 3 19 11 27 7 23 15,1. 0.033203 0.070312 0.048828 0.15625 0.041016 0.101562 0.056641 0.375 0.037109 0.085938 0.052734 0.21875 0.044922 0.117188 0.060547 0.75 0.035156 0.078125 0.050781 0.1875 0.042969 0.109375 0.058594 0.5 0.039062 0.09375 0.054688 0.25 0.046875 0.125 0.0625,31 0 16 8 24 4 20 12 28 2 18 10 26 6 22 14 30 1 17 9 25 5 21 13 29 3 19 11 27 7 23 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"[(-0.20340298226238868-0.35323876048806313j), (0.12186029909117586-0.15865288733604516j), (0.008064516129032258+0.04054306042036973j), (-0.013823400122078658-0.09442977535097617j), (0.0472807157008161-0.04096024752530317j), (0.03225806451612903+0.07787785685074501j), (0.035992161601133825-0.07782353534514204j), (0.06250000000000003+0j), (0.008064516129032258+0.01206940131181843j), (0.03177284814444367-0.020670473895033372j), (-0.0062501792541453756+0.03216805308200942j), (0.12903225806451613+0.12903225806451613j), (0.0671813096134776-0.10506663489975536j), (0.08574164193397965+0.020520616061311284j), (0.008064516129032258+0.0053885374025749765j), (0.0625-0.034920379184856395j), (0.04941887093858432+0.04745632417175244j), (0.032258064516129045+0.013361727818486933j), (0.0709268913236938-0.022369689778549313j), (0.042049206573691565+0.06620396889936325j), (0.008064516129032261+0.0016041319949972384j), (0.10739940437878791+0.050156022707610166j), (-0.045017755403107096+0.21299004684869977j)]","[0.40761549909734396, 0.20005167121185133, 0.041337345931314606, 0.09543620310852122, 0.0625556388706526, 0.08429438483073398, 0.08574344494093239, 0.06250000000000003, 0.014515745534458292, 0.03790491221801119, 0.03276962587207741, 0.1824791693384639, 0.12470896571834934, 0.08816305827879682, 0.009699111079597497, 0.07159387461518026, 0.06851516261922545, 0.034915877428786914, 0.07437087422930837, 0.07842895684315102, 0.008222509340389667, 0.11853378705991265, 0.2176955634783247]","[-2.0932488493615087, -0.9158153973156462, 1.3744467859455345, -1.716152044878417, -0.713892911365793, 1.1780972450961724, -1.1376091095346261, 0.0, 0.9817477042468092, -0.5767760863037945, 1.7627029575662627, 0.7853981633974483, -1.0018973975577594, 0.23491213464914382, 0.589048622548085, -0.5095179923811497, 0.7651424276576927, 0.3926990816987239, -0.3055163180336991, 1.0049340367854669, 0.19634954084936157, 0.43690467604823613, 1.7790915262357667]","[-2.0932488493615087, -0.9158153973156462, 1.3744467859455345, -1.716152044878417, -0.713892911365793, 1.1780972450961724, -1.1376091095346261, 0.0, 0.9817477042468092, -0.5767760863037945, 1.7627029575662627, 0.7853981633974483, -1.0018973975577594, 0.23491213464914382, 0.589048622548085, -0.5095179923811497, 0.7651424276576927, 0.3926990816987239, -0.3055163180336991, 1.0049340367854669, 0.19634954084936157, 0.43690467604823613, 1.7790915262357667]"
7,9/4,16n,36 3 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3,35 0 18 9 27 3 21 12 30 6 24 15 33 1 19 10 28 4 22 13 31 7 25 16 34 2 20 11 29 5 23 14 32 8 26 17,1. 0.065972 0.138889 0.097222 0.291667 0.076389 0.180556 0.107639 0.416667 0.086806 0.222222 0.118056 0.666667 0.069444 0.152778 0.100694 0.333333 0.079861 0.194444 0.111111 0.458333 0.090278 0.236111 0.121528 0.833333 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125,35 0 18 9 27 3 21 12 30 6 24 15 33 1 19 10 28 4 22 13 31 7 25 16 34 2 20 11 29 5 23 14 32 8 26 17 0 0 0 0 0 0 0 0 0 0 0 0,"[(-0.2186701112239899-0.19834258866301513j), (0.023185570032689368-0.20307456653509554j), (0.07487630627403756-0.0526225330515283j), (0.02142857142857144+0.07997251730504736j), (-0.006059322751849905-0.06877139790724357j), (0.05180323645923978-0.05400129409550999j), (0.0400309954619129+0.0033872013168479024j), (0.02142857142857145+0.03711537444790449j), (0.015805019279429455-0.03693681622338731j), (0.0396812920095358-0.002705315413021957j), (-0.008701460456387427+0.02149009501172777j), (0.12857142857142856+0.12857142857142856j), (0.02745359277558885-0.08486212019586688j), (0.08633823949112017-0.025230708502805708j), (0.042201577351180526+0.03412596571581981j), (0.02142857142857143+0.012371791482634837j), (0.038955773256334154-0.03632472679091123j), (0.07200628735028401+0.015839975745759825j), (0.0196366068900249+0.05014105177296299j), (0.02142857142857143+0.005741768409238342j), (0.06394249392074927-0.006956576509146605j), (0.0698425175142737+0.09881590591976754j), (-0.07042385172941135+0.13985542151602767j)]","[0.2952226278933546, 0.20439386055152856, 0.09151826170771965, 0.0827936422533487, 0.06903781979703234, 0.07483124395358981, 0.04017404299336261, 0.042857142857142844, 0.040176199759850664, 0.03977340401612596, 0.02318490020869533, 0.18182745801939793, 0.0891923718735275, 0.08994932045312835, 0.054272964420280026, 0.024743582965269673, 0.05326385309413188, 0.07372794754771037, 0.053849061301496505, 0.022184489580216064, 0.06431979855015614, 0.12100644823924045, 0.1565856245631504]","[-2.4049015084615353, -1.457115885721955, -0.6125979053336816, 1.308996938995747, -1.6586775674657825, -0.8061698778787073, 0.08441339389769471, 1.047197551196597, -1.1664775120659667, -0.06807075852781894, 1.9555245284132101, 0.7853981633974483, -1.2579142900021612, -0.2843141032121966, 0.6799882538321985, 0.5235987755982988, -0.7504624765022015, 0.21653166076984745, 1.197528529894562, 0.26179938779914935, -0.10836804933004983, 0.9555249799907943, 2.0372779288307545]","[-2.4049015084615353, -1.457115885721955, -0.6125979053336816, 1.308996938995747, -1.6586775674657825, -0.8061698778787073, 0.08441339389769471, 1.047197551196597, -1.1664775120659667, -0.06807075852781894, 1.9555245284132101, 0.7853981633974483, -1.2579142900021612, -0.2843141032121966, 0.6799882538321985, 0.5235987755982988, -0.7504624765022015, 0.21653166076984745, 1.197528529894562, 0.26179938779914935, -0.10836804933004983, 0.9555249799907943, 2.0372779288307545]"
8,10/4,16n,40 5 2 2 2,0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3,39 0 20 10 30 5 25 15 35 1 21 11 31 6 26 16 36 3 23 13 33 8 28 18 38 2 22 12 32 7 27 17 37 4 24 14 34 9 29 19,1. 0.065625 0.1375 0.096875 0.3 0.08125 0.2 0.1125 0.6 0.06875 0.15 0.1 0.35 0.084375 0.2125 0.115625 0.7 0.075 0.175 0.10625 0.45 0.090625 0.2375 0.121875 0.9 0.071875 0.1625 0.103125 0.4 0.0875 0.225 0.11875 0.8 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,39 0 20 10 30 5 25 15 35 1 21 11 31 6 26 16 36 3 23 13 33 8 28 18 38 2 22 12 32 7 27 17 37 4 24 14 34 9 29 19 0 0 0 0 0 0 0 0,"[(-0.1781770939138363-0.07450019065936857j), (-0.06340838064385282-0.13009096360574685j), (0.03015344906182489-0.13016359948082523j), (0.06474358974358975-0.039387733159404435j), (0.0329590496263808-0.0027682804040618466j), (0.03205128205128205+0.07737863981965049j), (-0.004535863747131453-0.035872380348201414j), (0.026282051282051317-0.03886011427237865j), (0.04125113430499994-0.020415602187499427j), (0.03040537276981735+0.01605969800239431j), (-0.007184344959672282+0.011842126472544104j), (0.1282051282051282+0.1282051282051282j), (0.002939614667057897-0.05523961996033355j), (0.050314530085395874-0.04879068980783262j), (0.06781433724867374-0.011501090898045527j), (0.051923076923076926+0.029977802438692105j), (0.010684045685252708+0.029914231284244912j), (0.03205128205128205+0.013276075717086392j), (0.02402553321732026-0.023878405841722763j), (0.06474358974358975-0.0016379078662366053j), (0.060781079384501425+0.05310988616760302j), (0.010893605993767803+0.09373378317883908j), (-0.06532632519075625+0.07351992818298923j)]","[0.19312523191924535, 0.14472139284759347, 0.13361060257378066, 0.07578341465203788, 0.03307510134027929, 0.08375403621002414, 0.03615801061699286, 0.04691326785521024, 0.04602665417046273, 0.03438605230612636, 0.01385102060829087, 0.18130943107347372, 0.055317781478949994, 0.07008625649610876, 0.06878269715794783, 0.059955604877384217, 0.031764918786797866, 0.03469205770167929, 0.03387335991481476, 0.06476430463661707, 0.08071554757220453, 0.09436467962413198, 0.09834992934903578]","[-2.7455600838921477, -2.024325923894371, -1.3431537393409985, -0.546547534202007, -0.08379483545176876, 1.1780972450961724, -1.6965733047125344, -0.976137231103525, -0.4595673885649815, 0.4859414735957162, 2.1161108774827535, 0.7853981633974483, -1.5176307824525093, -0.7700233909382905, -0.16799820330049445, 0.5235987755982988, 1.2277607748827084, 0.39269908169872453, -0.7823268728965372, -0.025292983940833114, 0.7181441557706171, 1.4550968047719541, 2.2972507922493453]","[-2.7455600838921477, -2.024325923894371, -1.3431537393409985, -0.546547534202007, -0.08379483545176876, 1.1780972450961724, -1.6965733047125344, -0.976137231103525, -0.4595673885649815, 0.4859414735957162, 2.1161108774827535, 0.7853981633974483, -1.5176307824525093, -0.7700233909382905, -0.16799820330049445, 0.5235987755982988, 1.2277607748827084, 0.39269908169872453, -0.7823268728965372, -0.025292983940833114, 0.7181441557706171, 1.4550968047719541, 2.2972507922493453]"
