Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc12,bc24,bc48,bc4,bc8,bc16
2/2,0.0,0.15844720369933335,0.7817198372769737,1.5053933377983226,0.8263738498055486,1.0148509859322143,0.7937740245043746,1.2090259801707084,1.339533782027483,1.0255077244438382,1.0118922134279316,0.9962732512321678,1.2193395416203483,1.4240770226395114,1.2925947087325136,1.4558080382862086,3.243748810012302,2.0893034932637047,2.1184164821687292,2.7158898796070545
2/4,0.15844720369933335,0.0,0.7851477758628974,1.4391207608714438,0.8289172350122375,1.099481639804267,0.7943838320416364,1.2916554019967357,1.3212670724189552,0.9876091803044088,1.079445522332096,0.9552730388612038,1.287080354261953,1.3954610960104632,1.3321628661612053,1.3807127042057465,3.180115056788845,2.2071441381463903,2.2091462564967204,2.7751400644519895
3/4,0.7817198372769737,0.7851477758628974,0.0,1.9400622495499895,0.8835918590136324,1.2930859423189416,0.9010965486695457,1.1216629584860036,1.7867851795630358,1.036425683248763,1.2872585565934311,1.0534046921856668,1.0996133551087752,1.8584854623428386,1.3707259070105289,1.4174528252171907,3.6640407415378364,2.227400067552585,2.2293120147496923,2.982296034385131
4/4,1.5053933377983226,1.4391207608714438,1.9400622495499895,0.0,1.8894615156908252,1.9043676486124754,1.8874821357783789,2.22672636034257,0.7008191036502152,1.8698820567618504,1.8362830196836826,1.8675674202835844,2.1898337409543522,0.6389069767804659,2.4912737073317555,1.8517563285165626,2.0477426731434116,3.1166874275784666,2.9525805869692636,2.9967386545045387
5/4,0.8263738498055486,0.8289172350122375,0.8835918590136324,1.8894615156908252,0.0,1.3224194612052316,1.1170257789784006,1.3547024843901374,1.744063812679016,0.4375706022570788,1.3167097073577663,1.2627344374709848,1.3507320383463748,1.8147095446997525,1.4185256361043792,1.4653208453166364,3.635148855770397,2.2508935143767324,2.2532149752985324,2.98015231080922
6/4,1.0148509859322143,1.099481639804267,1.2930859423189416,1.9043676486124754,1.3224194612052316,0.0,1.3072110072525434,0.5906356489378884,1.3549580202668987,1.5283393048085658,0.18135255374755346,1.5136248336904237,0.6386823016839822,1.4626241253415206,1.7769139460318262,1.7896627905115732,3.490917497808653,1.5327130863435379,1.2589516977599038,2.1559699630089377
7/4,0.7937740245043746,0.7943838320416364,0.9010965486695457,1.8874821357783789,1.1170257789784006,1.3072110072525434,0.0,1.3628357694233568,1.7422420368806026,1.2627148896448674,1.3002813732968839,0.43830894434886936,1.3594983578925481,1.8128754645913847,1.419217888120888,1.4654881393506707,3.5862274399706635,2.2511478991248546,2.2533588000879243,2.959788408995173
9/4,1.2090259801707084,1.2916554019967357,1.1216629584860036,2.22672636034257,1.3547024843901374,0.5906356489378884,1.3628357694233568,0.0,1.7259297301710825,1.5613240904579364,0.640543653945031,1.5694078757654704,0.18715707778275387,1.8258365945167263,1.7917291015231243,1.8305350296252467,3.8495383569702226,1.527241141744452,1.262915419319454,2.347568971986651
12/4,1.339533782027483,1.3212670724189552,1.7867851795630358,0.7008191036502152,1.744063812679016,1.3549580202668987,1.7422420368806026,1.7259297301710825,0.0,1.7890006073456262,1.2884688717178001,1.7869738809221474,1.6979774251729558,0.14228553771727204,2.36595001438284,1.8111997737485208,2.35783365497291,2.6005825517239076,2.3447982212527827,2.503210715133178
5/8,1.0255077244438382,0.9876091803044088,1.036425683248763,1.8698820567618504,0.4375706022570788,1.5283393048085658,1.2627148896448674,1.5613240904579364,1.7890006073456262,0.0,1.4848781429353266,1.2580760338572454,1.5193086986034823,1.8344233449862666,1.5351779029343833,1.3341131790214578,3.5740680231448256,2.5120230026317496,2.462810187313962,3.1376196962003577
6/8,1.0118922134279316,1.079445522332096,1.2872585565934311,1.8362830196836826,1.3167097073577663,0.18135255374755346,1.3002813732968839,0.640543653945031,1.2884688717178001,1.4848781429353266,0.0,1.4685366620095908,0.6352283019294499,1.3840898833098982,1.8063242723819102,1.6997301718280973,3.4169339393891924,1.6396568370687472,1.3109829769880035,2.170775674058556
7/8,0.9962732512321678,0.9552730388612038,1.0534046921856668,1.8675674202835844,1.2627344374709848,1.5136248336904237,0.43830894434886936,1.5694078757654704,1.7869738809221474,1.2580760338572454,1.4685366620095908,0.0,1.5281930980729352,1.8323325406960953,1.5359393198265974,1.3340918545771965,3.517757876663352,2.5124884012234587,2.463117746962628,3.1159137030684323
9/8,1.2193395416203483,1.287080354261953,1.0996133551087752,2.1898337409543522,1.3507320383463748,0.6386823016839822,1.3594983578925481,0.18715707778275387,1.6979774251729558,1.5193086986034823,0.6352283019294499,1.5281930980729352,0.0,1.7867521571984877,1.8225251356259722,1.7423531976825697,3.8066962392524326,1.6371866158288673,1.3161587636900292,2.3752781118903217
12/8,1.4240770226395114,1.3954610960104632,1.8584854623428386,0.6389069767804659,1.8147095446997525,1.4626241253415206,1.8128754645913847,1.8258365945167263,0.14228553771727204,1.8344233449862666,1.3840898833098982,1.8323325406960953,1.7867521571984877,0.0,2.4433736069101064,1.817459217087739,2.2744520574830895,2.712765879466653,2.4395604317236406,2.564797658947839
bc12,1.2925947087325136,1.3321628661612053,1.3707259070105289,2.4912737073317555,1.4185256361043792,1.7769139460318262,1.419217888120888,1.7917291015231243,2.36595001438284,1.5351779029343833,1.8063242723819102,1.5359393198265974,1.8225251356259722,2.4433736069101064,0.0,2.383878198287533,4.161638968079073,1.9883380930045633,2.420839754357787,3.140137754347581
