,c6,6/8,c12,9/8,12/8,2/2,4/4,2/4,c2,c4,c8,6/4,c3,12/4,9/4,5/8,3/4,7/4,5/4,7/8
c8,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,28.523596276963243,25.347988238011173,35.14326771784524,34.0630603144222
6/4,19.426713822445752,14.09983663424629,13.447276588709425,23.000457607124755,9.637393043132661,18.401404183515773,18.401404183515773,18.50578478805124,18.50200164121698,18.50200164121698,18.50200164121698,0.0,22.508173060087884,11.238987135435892,21.32478376973932,24.89383483838249,22.898955162697447,24.761561058104085,36.204678305421304,36.50422715655989
c3,20.42035224833365,18.784284473758003,20.48020777421953,21.41791435227951,21.599640050393543,16.713855198491018,16.713855198491018,16.71166713629612,16.738726381615233,16.738726381615233,16.738726381615233,22.508173060087884,0.0,22.610055528103516,23.985603366378804,23.64756809627998,29.270809188141307,28.49227524949842,38.96976251498342,42.709933591496714
12/4,21.433103355061352,17.749168896501704,17.744975132146173,24.246145903897418,14.2321979164725,17.298453082751973,17.298453082751973,17.279784262109146,17.274858561808653,17.274858561808653,17.274858561808653,11.238987135435892,22.610055528103516,0.0,20.24135471340572,24.402031991131086,27.24092276646472,27.69901165497887,35.95347786062469,37.53756644426048
9/4,21.495676523734478,17.304401555270093,17.09199415971986,21.70201885681352,20.060721408527883,19.978995049958215,19.978995049958215,19.937734219401737,19.934063089033614,19.934063089033614,19.934063089033614,21.32478376973932,23.985603366378804,20.24135471340572,0.0,25.672642935938065,26.149157591027354,30.88208204869528,37.541295556916005,38.67192816632699
5/8,21.96947311156521,21.092569834596933,21.699889331682517,24.530438325091687,25.55795116789392,18.46107393830861,18.46107393830861,18.477226060803872,18.457004285366466,18.457004285366466,18.457004285366466,24.89383483838249,23.64756809627998,24.402031991131086,25.672642935938065,0.0,29.156415720450376,29.55751784145341,30.85212169450442,37.83840210519596
3/4,24.51779475602692,19.138310024481502,16.949559310352193,24.481799478143923,22.957099465957935,28.432970106639296,28.432970106639296,28.523456686478596,28.523596276963243,28.523596276963243,28.523596276963243,22.898955162697447,29.270809188141307,27.24092276646472,26.149157591027354,29.156415720450376,0.0,27.936758925379312,34.125076228529075,30.69617890438257
7/4,27.72584539043654,25.62511733122233,25.077354427586794,29.510552349524016,24.828645223407875,25.265820088582135,25.265820088582135,25.34666740515811,25.347988238011173,25.347988238011173,25.347988238011173,24.761561058104085,28.49227524949842,27.69901165497887,30.88208204869528,29.55751784145341,27.936758925379312,0.0,33.918231983026736,37.18389094757981
5/4,34.30162867422132,35.55850362997119,34.384636601189634,36.584387410995475,36.915252557914904,35.1561443320996,35.1561443320996,35.18845094481881,35.14326771784524,35.14326771784524,35.14326771784524,36.204678305421304,38.96976251498342,35.95347786062469,37.541295556916005,30.85212169450442,34.125076228529075,33.918231983026736,0.0,43.07658936140947
7/8,38.73330130886836,36.06434781931511,34.021245085667665,37.222109712419005,37.173356518992804,34.010535245597595,34.010535245597595,34.057016770868444,34.0630603144222,34.0630603144222,34.0630603144222,36.50422715655989,42.709933591496714,37.53756644426048,38.67192816632699,37.83840210519596,30.69617890438257,37.18389094757981,43.07658936140947,0.0
