,9/4,9/8,3/4,mc9,6/4,6/8,mc6,mc12,mc3,12/4,7/4,12/8,5/4,7/8,5/8,2/2,4/4,mc8,2/4,mc7,mc5,mc4,mc2
7/4,16.99591057158241,17.866506495253958,19.98406530747323,19.73567963405563,18.36675507637721,19.521514556398227,21.507212299549547,17.987699387537617,27.787107779719644,18.446272707354705,0.0,19.17067446996353,17.29774172905198,2.4427129587190586,18.711955008037986,21.126536338935267,21.126536338935267,19.65309252030103,22.36938103046971,8.319980162087745,23.292650640825517,23.96464468079562,31.485119494790034
12/8,17.286250771000123,17.68040095805835,15.81787560594014,23.38587582348263,7.015829783950621,7.201800772677564,18.73008404478359,17.611488809111773,25.785575437242628,1.0486824967566328,19.17067446996353,0.0,18.361290809268578,19.650984729138486,19.08960478791456,4.687107787650878,4.687107787650878,17.74411824156036,5.630034663905703,24.379601630577053,25.237880918156065,13.16566875692523,17.172555090635655
5/4,17.38305332412552,18.09709192201779,19.738020719772177,20.91515051842962,17.824827723151614,18.817164304695858,22.087904136170966,19.324159691869433,27.548866067037522,17.73653773736894,17.29774172905198,18.361290809268578,0.0,18.161952629026118,2.8545807211371392,20.0761211292932,20.0761211292932,20.5374556891494,21.202556572887715,21.985713376875875,9.751701647701985,23.80921883104286,30.17011742336955
7/8,17.807710322550097,18.57845697408884,20.495332605963448,20.75349094324468,18.814916826701467,19.875153855897736,22.24436172208018,19.31262812405109,28.10400319541597,18.98399306348789,2.4427129587190586,19.650984729138486,18.161952629026118,0.0,19.413508938780016,21.46826011459733,21.46826011459733,20.830137223271425,22.639796644912682,7.569506446716221,23.965776224482774,24.832350911413993,31.33923614069389
5/8,18.501639514241212,19.09428551306404,20.48600291309661,22.243939126410382,18.507081403861847,19.37134672493801,23.095222269284594,21.012316858738544,28.019408056301927,18.54269577821641,18.711955008037986,19.08960478791456,2.8545807211371392,19.413508938780016,0.0,20.61266753713839,20.61266753713839,22.078346308540485,21.63806623888902,23.157362898785287,8.846525447416168,25.00522192589559,30.0146067648767
2/2,19.98187734320453,20.256166105877966,18.88114988408391,25.76577184739933,10.353393821168684,10.310541562590961,21.97276672180963,21.507275069144484,27.97687483862031,5.160388578965741,21.126536338935267,4.687107787650878,20.0761211292932,21.46826011459733,20.61266753713839,0.0,0.0,18.064670108169057,1.8435488673206095,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
4/4,19.98187734320453,20.256166105877966,18.88114988408391,25.76577184739933,10.353393821168684,10.310541562590961,21.97276672180963,21.507275069144484,27.97687483862031,5.160388578965741,21.126536338935267,4.687107787650878,20.0761211292932,21.46826011459733,20.61266753713839,0.0,0.0,18.064670108169057,1.8435488673206095,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
mc8,20.84143350233301,21.730312065442106,22.752572286845634,22.9128784747792,19.189025898925898,20.529163627878088,22.9128784747792,17.74823934929885,30.740852297878796,17.17327007544309,19.65309252030103,17.74411824156036,20.5374556891494,20.830137223271425,22.078346308540485,18.064670108169057,18.064670108169057,0.0,19.12167827076478,24.186773244895647,26.324893162176366,17.74823934929885,30.740852297878796
2/4,21.102920812886534,21.313596804954397,19.71931874015798,26.95105796038624,11.228266461381969,11.00365162810339,22.920623619492535,22.73540613010013,28.59722741405223,6.3045080092247545,22.36938103046971,5.630034663905703,21.202556572887715,22.639796644912682,21.63806623888902,1.8435488673206095,1.8435488673206095,19.12167827076478,0.0,27.192327087081047,27.621301226026034,13.762954476438104,14.655640604833392
mc7,21.702337577119646,22.418257060837796,24.38566103542461,23.664319132398465,23.53741705681455,24.53354493949243,25.69046515733026,22.58317958127243,30.983866769659336,23.75520897494223,8.319980162087745,24.379601630577053,21.985713376875875,7.569506446716221,23.157362898785287,26.093117645105576,26.093117645105576,24.186773244895647,27.192327087081047,0.0,26.832815729997478,28.460498941515414,35.4964786985977
mc5,23.396319374142724,23.95120936451877,25.48202146733009,25.92296279363144,24.60390859957022,25.4216180875216,27.49545416973504,25.099800796022265,31.74901573277509,24.723891915356436,23.292650640825517,25.237880918156065,9.751701647701985,23.965776224482774,8.846525447416168,26.67221793607858,26.67221793607858,26.324893162176366,27.621301226026034,26.832815729997478,0.0,29.698484809834994,35.4964786985977
mc4,24.263759074330288,24.89056299524408,24.028753859048933,27.748873851023216,18.452711477167362,18.759208097533556,25.099800796022265,20.493901531919196,32.4037034920393,13.156076620070605,23.96464468079562,13.16566875692523,23.80921883104286,24.832350911413993,25.00522192589559,13.370458921018807,13.370458921018807,17.74823934929885,13.762954476438104,28.460498941515414,29.698484809834994,0.0,25.099800796022265
mc2,30.302856145887514,30.235863700870926,28.17961344738517,35.4964786985977,18.757410620094124,17.79694046739368,28.982753492378876,32.4037034920393,35.4964786985977,17.79284465202101,31.485119494790034,17.172555090635655,30.17011742336955,31.33923614069389,30.0146067648767,15.475398582663823,15.475398582663823,30.740852297878796,14.655640604833392,35.4964786985977,35.4964786985977,25.099800796022265,0.0
