,6/4,6/8,12/4,12/8,2/2,4/4,2/4,3/4,mc6,9/4,9/8,mc12,5/4,7/4,mc4,5/8,mc2,7/8,mc8,mc9,mc3,mc7,mc5
6/4,0.0,1.855287940084312,6.746301393630056,7.015829783950621,10.353393821168684,10.353393821168684,11.228266461381969,11.318237560650331,12.917888763141859,14.183782067845545,14.459428242478689,15.65600948638201,17.824827723151614,18.36675507637721,18.452711477167362,18.507081403861847,18.757410620094124,18.814916826701467,19.189025898925898,21.169416084432868,22.20639799703207,23.53741705681455,24.60390859957022
6/8,1.855287940084312,0.0,7.1315773073327335,7.201800772677564,10.310541562590961,10.310541562590961,11.00365162810339,11.685041766761138,13.457851417599567,15.117066471485764,15.285289748233405,16.762614058487916,18.817164304695858,19.521514556398227,18.759208097533556,19.37134672493801,17.79694046739368,19.875153855897736,20.529163627878088,22.228117927933784,22.367324822310767,24.53354493949243,25.4216180875216
12/4,6.746301393630056,7.1315773073327335,0.0,1.0486824967566328,5.160388578965741,5.160388578965741,6.3045080092247545,15.466636498301206,18.27149803230125,16.674972690884047,17.122445912498744,16.90821829199694,17.73653773736894,18.446272707354705,13.156076620070605,18.54269577821641,17.79284465202101,18.98399306348789,17.17327007544309,22.70325975727764,25.544050069011647,23.75520897494223,24.723891915356436
12/8,7.015829783950621,7.201800772677564,1.0486824967566328,0.0,4.687107787650878,4.687107787650878,5.630034663905703,15.81787560594014,18.73008404478359,17.286250771000123,17.68040095805835,17.611488809111773,18.361290809268578,19.17067446996353,13.16566875692523,19.08960478791456,17.172555090635655,19.650984729138486,17.74411824156036,23.38587582348263,25.785575437242628,24.379601630577053,25.237880918156065
2/2,10.353393821168684,10.310541562590961,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,18.88114988408391,21.97276672180963,19.98187734320453,20.256166105877966,21.507275069144484,20.0761211292932,21.126536338935267,13.370458921018807,20.61266753713839,15.475398582663823,21.46826011459733,18.064670108169057,25.76577184739933,27.97687483862031,26.093117645105576,26.67221793607858
4/4,10.353393821168684,10.310541562590961,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,18.88114988408391,21.97276672180963,19.98187734320453,20.256166105877966,21.507275069144484,20.0761211292932,21.126536338935267,13.370458921018807,20.61266753713839,15.475398582663823,21.46826011459733,18.064670108169057,25.76577184739933,27.97687483862031,26.093117645105576,26.67221793607858
2/4,11.228266461381969,11.00365162810339,6.3045080092247545,5.630034663905703,1.8435488673206095,1.8435488673206095,0.0,19.71931874015798,22.920623619492535,21.102920812886534,21.313596804954397,22.73540613010013,21.202556572887715,22.36938103046971,13.762954476438104,21.63806623888902,14.655640604833392,22.639796644912682,19.12167827076478,26.95105796038624,28.59722741405223,27.192327087081047,27.621301226026034
3/4,11.318237560650331,11.685041766761138,15.466636498301206,15.81787560594014,18.88114988408391,18.88114988408391,19.71931874015798,0.0,11.543337910270731,9.371251924922923,9.170976670922379,15.747319750278555,19.738020719772177,19.98406530747323,24.028753859048933,20.48600291309661,28.17961344738517,20.495332605963448,22.752572286845634,18.863602306564708,12.31057745622331,24.38566103542461,25.48202146733009
mc6,12.917888763141859,13.457851417599567,18.27149803230125,18.73008404478359,21.97276672180963,21.97276672180963,22.920623619492535,11.543337910270731,0.0,15.185274801765173,15.444209218650991,14.491376746189438,22.087904136170966,21.507212299549547,25.099800796022265,23.095222269284594,28.982753492378876,22.24436172208018,22.9128784747792,20.493901531919196,20.493901531919196,25.69046515733026,27.49545416973504
9/4,14.183782067845545,15.117066471485764,16.674972690884047,17.286250771000123,19.98187734320453,19.98187734320453,21.102920812886534,9.371251924922923,15.185274801765173,0.0,1.572153163643502,15.65181648387643,17.38305332412552,16.99591057158241,24.263759074330288,18.501639514241212,30.302856145887514,17.807710322550097,20.84143350233301,10.52997496911535,15.708281143665182,21.702337577119646,23.396319374142724
9/8,14.459428242478689,15.285289748233405,17.122445912498744,17.68040095805835,20.256166105877966,20.256166105877966,21.313596804954397,9.170976670922379,15.444209218650991,1.572153163643502,0.0,16.78386721069146,18.09709192201779,17.866506495253958,24.89056299524408,19.09428551306404,30.235863700870926,18.57845697408884,21.730312065442106,10.976287895672767,14.933256131143402,22.418257060837796,23.95120936451877
mc12,15.65600948638201,16.762614058487916,16.90821829199694,17.611488809111773,21.507275069144484,21.507275069144484,22.73540613010013,15.747319750278555,14.491376746189438,15.65181648387643,16.78386721069146,0.0,19.324159691869433,17.987699387537617,20.493901531919196,21.012316858738544,32.4037034920393,19.31262812405109,17.74823934929885,18.708286933869708,25.099800796022265,22.58317958127243,25.099800796022265
5/4,17.824827723151614,18.817164304695858,17.73653773736894,18.361290809268578,20.0761211292932,20.0761211292932,21.202556572887715,19.738020719772177,22.087904136170966,17.38305332412552,18.09709192201779,19.324159691869433,0.0,17.29774172905198,23.80921883104286,2.8545807211371392,30.17011742336955,18.161952629026118,20.5374556891494,20.91515051842962,27.548866067037522,21.985713376875875,9.751701647701985
7/4,18.36675507637721,19.521514556398227,18.446272707354705,19.17067446996353,21.126536338935267,21.126536338935267,22.36938103046971,19.98406530747323,21.507212299549547,16.99591057158241,17.866506495253958,17.987699387537617,17.29774172905198,0.0,23.96464468079562,18.711955008037986,31.485119494790034,2.4427129587190586,19.65309252030103,19.73567963405563,27.787107779719644,8.319980162087745,23.292650640825517
